benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,notes
sensor_threshold_bug,failing,1,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,2,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,3,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=1 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=2 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=3 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,1,PASS,PASS,FAIL,2,2,FAIL,FAIL,FAIL,42,22,4,error_code=EVENT_MISMATCH
