benchmark,variant,elf_path,hex_path,map_path,build_status,compiler,compiler_version,size_text,size_data,size_bss,entry_point,sha256_hex,notes
sensor_threshold_bug,failing,NA,firmware/build/sensor_threshold_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,RISC-V compiler unavailable; verified generated HEX fallback sha256=00960bb1892e904c. This is not a compiler-backed firmware pass.
sensor_threshold_bug,fixed,NA,firmware/build/sensor_threshold_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,acd1d2727b9897b674c48ea7c2075c549162296f2e61daef6545697f001d8ba3,RISC-V compiler unavailable; verified generated HEX fallback sha256=acd1d2727b9897b6. This is not a compiler-backed firmware pass.
sensor_threshold_bug,no_failure_edge,NA,firmware/build/sensor_threshold_bug/no_failure_edge.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,RISC-V compiler unavailable; verified generated HEX fallback sha256=00960bb1892e904c. This is not a compiler-backed firmware pass.
interrupt_race_bug,failing,NA,firmware/build/interrupt_race_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,f0b505e032e47d2a12473566aa87a2f111a79996d3b74f6c8d5ad555a7d7e3b2,RISC-V compiler unavailable; verified generated HEX fallback sha256=f0b505e032e47d2a. This is not a compiler-backed firmware pass.
interrupt_race_bug,fixed,NA,firmware/build/interrupt_race_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,7057e34f7926c252bdefd4d4cbdf5d5c7d84e09e76fdc18d90f95cffde0821dc,RISC-V compiler unavailable; verified generated HEX fallback sha256=7057e34f7926c252. This is not a compiler-backed firmware pass.
mmio_ordering_bug,failing,NA,firmware/build/mmio_ordering_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,RISC-V compiler unavailable; verified generated HEX fallback sha256=bec8fc970125d250. This is not a compiler-backed firmware pass.
mmio_ordering_bug,fixed,NA,firmware/build/mmio_ordering_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,054baa55b3e6801b612a06949a31865381c509a8dca8361c2bf9783332cdcac1,RISC-V compiler unavailable; verified generated HEX fallback sha256=054baa55b3e6801b. This is not a compiler-backed firmware pass.
stack_corruption_bug,failing,NA,firmware/build/stack_corruption_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,00e483faf4249d7bbbaa45eadac8107869afd09f8e4047cf7d09147dfbcdb601,RISC-V compiler unavailable; verified generated HEX fallback sha256=00e483faf4249d7b. This is not a compiler-backed firmware pass.
stack_corruption_bug,fixed,NA,firmware/build/stack_corruption_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,b5790adf0b378e5c11a6c0bd9a137bfe224354677fe92eac2c83ce8bb6c3bbd8,RISC-V compiler unavailable; verified generated HEX fallback sha256=b5790adf0b378e5c. This is not a compiler-backed firmware pass.
uart_command_bug,failing,NA,firmware/build/uart_command_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,RISC-V compiler unavailable; verified generated HEX fallback sha256=9d0b2aec94526344. This is not a compiler-backed firmware pass.
uart_command_bug,fixed,NA,firmware/build/uart_command_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,RISC-V compiler unavailable; verified generated HEX fallback sha256=9d0b2aec94526344. This is not a compiler-backed firmware pass.
uart_command_bug,no_failure_edge,NA,firmware/build/uart_command_bug/no_failure_edge.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,9d0b2aec945263441d6b096dec439e69e4a27e625c2a1f809699b60c985b6d8a,RISC-V compiler unavailable; verified generated HEX fallback sha256=9d0b2aec94526344. This is not a compiler-backed firmware pass.
watchdog_timeout_bug,failing,NA,firmware/build/watchdog_timeout_bug/failing.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,RISC-V compiler unavailable; verified generated HEX fallback sha256=fa54d054a5702ffe. This is not a compiler-backed firmware pass.
watchdog_timeout_bug,fixed,NA,firmware/build/watchdog_timeout_bug/fixed.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,c213ec731f11e19ba979c0e8ad67d808f2325afa1c24682f103f30d25d0e030f,RISC-V compiler unavailable; verified generated HEX fallback sha256=c213ec731f11e19b. This is not a compiler-backed firmware pass.
watchdog_timeout_bug,no_failure_edge,NA,firmware/build/watchdog_timeout_bug/no_failure_edge.hex,NA,FALLBACK,NA,NA,NA,NA,NA,NA,fa54d054a5702ffed90c23c78b8859f7d50fb1169068c4c4e6dcc7157c1a3fa5,RISC-V compiler unavailable; verified generated HEX fallback sha256=fa54d054a5702ffe. This is not a compiler-backed firmware pass.
