benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
sensor_threshold_bug,failing,1,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,2,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,3,PASS,PASS,PASS,3,3,PASS,PASS,PASS,315,131,32,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=15 cycles=131 commits=32 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,fallback_hex,acd1d2727b9897b674c48ea7c2075c549162296f2e61daef6545697f001d8ba3,false,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=1 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,fallback_hex,acd1d2727b9897b674c48ea7c2075c549162296f2e61daef6545697f001d8ba3,false,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=2 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,84,100000,8,fallback_hex,acd1d2727b9897b674c48ea7c2075c549162296f2e61daef6545697f001d8ba3,false,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=3 property=0 events=4 cycles=100000 commits=8 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,21,100000,4,fallback_hex,00960bb1892e904c6abb1ceee491ec994ccef683716bc4b5f59ffe2236b49649,false,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=1 cycles=100000 commits=4 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,1,PASS,PASS,PASS,2,2,PASS,PASS,PASS,42,22,4,fallback_hex,f0b505e032e47d2a12473566aa87a2f111a79996d3b74f6c8d5ad555a7d7e3b2,false,"PASS replay benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=2 cycles=22 commits=4 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,2,PASS,PASS,PASS,2,2,PASS,PASS,PASS,42,22,4,fallback_hex,f0b505e032e47d2a12473566aa87a2f111a79996d3b74f6c8d5ad555a7d7e3b2,false,"PASS replay benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=2 cycles=22 commits=4 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,3,PASS,PASS,PASS,2,2,PASS,PASS,PASS,42,22,4,fallback_hex,f0b505e032e47d2a12473566aa87a2f111a79996d3b74f6c8d5ad555a7d7e3b2,false,"PASS replay benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=2 cycles=22 commits=4 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,147,100000,45,fallback_hex,7057e34f7926c252bdefd4d4cbdf5d5c7d84e09e76fdc18d90f95cffde0821dc,false,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=1 property=0 events=7 cycles=100000 commits=45 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,147,100000,45,fallback_hex,7057e34f7926c252bdefd4d4cbdf5d5c7d84e09e76fdc18d90f95cffde0821dc,false,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=2 property=0 events=7 cycles=100000 commits=45 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,147,100000,45,fallback_hex,7057e34f7926c252bdefd4d4cbdf5d5c7d84e09e76fdc18d90f95cffde0821dc,false,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=3 property=0 events=7 cycles=100000 commits=45 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,1,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,2,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=2 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,3,PASS,PASS,PASS,5,5,PASS,PASS,PASS,21,14,2,fallback_hex,bec8fc970125d250e88b4bceb09ee9b91474fcf48fe9c19ffe05cd3963da2171,false,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=3 property=5 events=1 cycles=14 commits=2 notes=""record/replay capsule packets match"""
mmio_ordering_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,42,100000,6,fallback_hex,054baa55b3e6801b612a06949a31865381c509a8dca8361c2bf9783332cdcac1,false,"PASS replay benchmark=mmio_ordering_bug variant=fixed seed=1 property=0 events=2 cycles=100000 commits=6 notes=""record/replay capsule packets match"""
