benchmark,variant,seed,config,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,slowdown_vs_baseline_pct,cycle_overhead_pct,commit_overhead_pct,status,notes
sensor_threshold_bug,failing,1,with_replaycapsule_recorder,NA,131,NA,32,15,315,0.131335,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,failing,1,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,failing,1,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,failing,2,with_replaycapsule_recorder,NA,131,NA,32,15,315,0.009628,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,failing,2,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,failing,2,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,failing,3,with_replaycapsule_recorder,NA,131,NA,32,15,315,0.009021,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,failing,3,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,failing,3,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,fixed,1,with_replaycapsule_recorder,100000,NA,8,NA,4,84,0.027855,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,fixed,1,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,fixed,1,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,fixed,2,with_replaycapsule_recorder,100000,NA,8,NA,4,84,0.028567,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,fixed,2,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,fixed,2,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,fixed,3,with_replaycapsule_recorder,100000,NA,8,NA,4,84,0.027828,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
sensor_threshold_bug,fixed,3,baseline_no_replaycapsule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,no baseline core wrapper without ReplayCapsule instrumentation exists
sensor_threshold_bug,fixed,3,replaycapsule_present_disabled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,current Verilator top has no runtime recorder-disable control
sensor_threshold_bug,no_failure_edge,1,with_replaycapsule_recorder,100000,NA,4,NA,1,21,0.029538,NA,NA,NA,MEASURED,measured current recorder-enabled host-driven Verilator run; no baseline overhead computed
