benchmark,variant,elf_path,hex_path,map_path,build_status,firmware_source,compiler,compiler_version,size_text,size_data,size_bss,entry_point,sha256_hex,notes
sensor_threshold_bug,failing,firmware/build/sensor_threshold_bug/failing.elf,firmware/build/sensor_threshold_bug/failing.hex,firmware/build/sensor_threshold_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,132,0,0,0x0,0acf5818a35948ba80df3a0ac574377066de62c98433b2c9cd39b9f1346404c2,built with riscv64-unknown-elf-gcc
sensor_threshold_bug,fixed,firmware/build/sensor_threshold_bug/fixed.elf,firmware/build/sensor_threshold_bug/fixed.hex,firmware/build/sensor_threshold_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,100,0,0,0x0,a6e36f75aa76a7463bdc191fc2b78f50414ad5fb58dfaea6676a319d36aaa121,built with riscv64-unknown-elf-gcc
sensor_threshold_bug,no_failure_edge,firmware/build/sensor_threshold_bug/no_failure_edge.elf,firmware/build/sensor_threshold_bug/no_failure_edge.hex,firmware/build/sensor_threshold_bug/no_failure_edge.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,132,0,0,0x0,0acf5818a35948ba80df3a0ac574377066de62c98433b2c9cd39b9f1346404c2,built with riscv64-unknown-elf-gcc
interrupt_race_bug,failing,firmware/build/interrupt_race_bug/failing.elf,firmware/build/interrupt_race_bug/failing.hex,firmware/build/interrupt_race_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,116,0,0,0x0,e871e354fa9501c05a3b6169bb80adab3ce228a8eed13256c2064eccb3dd4f22,built with riscv64-unknown-elf-gcc
interrupt_race_bug,fixed,firmware/build/interrupt_race_bug/fixed.elf,firmware/build/interrupt_race_bug/fixed.hex,firmware/build/interrupt_race_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,100,0,0,0x0,82e130d92d7f6eab83cc18991f9d2c72b3710f7d948981e0c673d72bbe311c52,built with riscv64-unknown-elf-gcc
mmio_ordering_bug,failing,firmware/build/mmio_ordering_bug/failing.elf,firmware/build/mmio_ordering_bug/failing.hex,firmware/build/mmio_ordering_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,88,0,0,0x0,2834170c90648c0f1f5b87a2c376f1bb130735f7b11c416655352a45d52a28a4,built with riscv64-unknown-elf-gcc
mmio_ordering_bug,fixed,firmware/build/mmio_ordering_bug/fixed.elf,firmware/build/mmio_ordering_bug/fixed.hex,firmware/build/mmio_ordering_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,88,0,0,0x0,739b75056ec5c643ca215b5e6f7f85a0492515d560433a1aa0210c4dff0c8361,built with riscv64-unknown-elf-gcc
stack_corruption_bug,failing,firmware/build/stack_corruption_bug/failing.elf,firmware/build/stack_corruption_bug/failing.hex,firmware/build/stack_corruption_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,92,0,0,0x0,229bfd29a825c2bdfdadf714ecf3f039f383705c110d25325d2f15db240e7fa8,built with riscv64-unknown-elf-gcc
stack_corruption_bug,fixed,firmware/build/stack_corruption_bug/fixed.elf,firmware/build/stack_corruption_bug/fixed.hex,firmware/build/stack_corruption_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,100,0,0,0x0,4e6065a5710a04d6fb55a57956d46d6924f1a7a367ae5e17e6e3c398f38caebc,built with riscv64-unknown-elf-gcc
uart_command_bug,failing,firmware/build/uart_command_bug/failing.elf,firmware/build/uart_command_bug/failing.hex,firmware/build/uart_command_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,84,0,0,0x0,d36f7ac581eabe38771e9f1743c7b8c3e3b1b56c2a5678249004e480d189530d,built with riscv64-unknown-elf-gcc
uart_command_bug,fixed,firmware/build/uart_command_bug/fixed.elf,firmware/build/uart_command_bug/fixed.hex,firmware/build/uart_command_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,96,0,0,0x0,01c0457bfc32aa2fbd92cf1063fa3743d5efb172a1df917a13e42eb0f43af1ec,built with riscv64-unknown-elf-gcc
uart_command_bug,no_failure_edge,firmware/build/uart_command_bug/no_failure_edge.elf,firmware/build/uart_command_bug/no_failure_edge.hex,firmware/build/uart_command_bug/no_failure_edge.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,84,0,0,0x0,d36f7ac581eabe38771e9f1743c7b8c3e3b1b56c2a5678249004e480d189530d,built with riscv64-unknown-elf-gcc
watchdog_timeout_bug,failing,firmware/build/watchdog_timeout_bug/failing.elf,firmware/build/watchdog_timeout_bug/failing.hex,firmware/build/watchdog_timeout_bug/failing.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,164,0,0,0x0,559c76065b1b657e4e76875d095fe331283415c126dafb6a65a6c6e1c519057c,built with riscv64-unknown-elf-gcc
watchdog_timeout_bug,fixed,firmware/build/watchdog_timeout_bug/fixed.elf,firmware/build/watchdog_timeout_bug/fixed.hex,firmware/build/watchdog_timeout_bug/fixed.map,PASS,compiler_c,riscv64-unknown-elf-gcc,riscv64-unknown-elf-gcc (13.2.0-11ubuntu1+12) 13.2.0,108,0,0,0x0,5939e24aa63f621356aceb5acf6687b0c5aa246e4da57b24e0b7ce94d31070b2,built with riscv64-unknown-elf-gcc
