benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,firmware_source,firmware_sha256,compiler_backed,notes
sensor_threshold_bug,failing,1,PASS,PASS,PASS,3,3,PASS,PASS,PASS,147,108,27,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=7 cycles=108 commits=27 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,2,PASS,PASS,PASS,3,3,PASS,PASS,PASS,147,108,27,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=7 cycles=108 commits=27 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,3,PASS,PASS,PASS,3,3,PASS,PASS,PASS,147,108,27,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=7 cycles=108 commits=27 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,3e860a3082ba12b1869e6284d81a1e414d1a4aa3444dfe388a25de53a06e6f48,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,3e860a3082ba12b1869e6284d81a1e414d1a4aa3444dfe388a25de53a06e6f48,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,3e860a3082ba12b1869e6284d81a1e414d1a4aa3444dfe388a25de53a06e6f48,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33329,compiler_c,77eb4ec81594c3bc34edeedcf05984ce211864874fba19c7c7711bfb9fd3f2d9,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 property=0 events=256 cycles=100000 commits=33329 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,1,PASS,PASS,PASS,2,2,PASS,PASS,PASS,84,51,13,compiler_c,c5578c4b481e49e68e6acb28d417b30a3ea82e4197512f22c0fac7d1451e8a50,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=1 property=2 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,2,PASS,PASS,PASS,2,2,PASS,PASS,PASS,84,51,13,compiler_c,c5578c4b481e49e68e6acb28d417b30a3ea82e4197512f22c0fac7d1451e8a50,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=2 property=2 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,3,PASS,PASS,PASS,2,2,PASS,PASS,PASS,84,51,13,compiler_c,c5578c4b481e49e68e6acb28d417b30a3ea82e4197512f22c0fac7d1451e8a50,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=3 property=2 events=4 cycles=51 commits=13 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,d39e5f0881a7783084e30aae57bef29e87ff5abb6b7b227df950f2c6c4336efd,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=1 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,d39e5f0881a7783084e30aae57bef29e87ff5abb6b7b227df950f2c6c4336efd,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=2 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,compiler_c,d39e5f0881a7783084e30aae57bef29e87ff5abb6b7b227df950f2c6c4336efd,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=3 property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,1,PASS,PASS,PASS,5,5,PASS,PASS,PASS,63,46,12,compiler_c,ae8c3d3e06fb697b3b6c68a581491d5690824f41a0965101139650aacfb06360,true,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 property=5 events=3 cycles=46 commits=12 notes=""record/replay capsule packets match"""
