target,flow,metric,baseline,with_replaycapsule,delta,percent_overhead,notes
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_tiny_baseline_to_replaycapsule_recorder_tiny_lut,46,365,319.00,693.48,scoped tiny-wrapper overhead; not a full-core overhead claim
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_tiny_baseline_to_replaycapsule_recorder_tiny_ff,32,205,173.00,540.62,scoped tiny-wrapper overhead; not a full-core overhead claim
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_tiny_baseline_to_replaycapsule_recorder_tiny_bram,NA,NA,NA,NA,scoped tiny-wrapper overhead; not a full-core overhead claim; requires both same-target rows to PASS
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,replaycapsule_tiny_baseline_to_replaycapsule_recorder_tiny_fmax_mhz,157.48,63.93,-93.55,-59.40,scoped tiny-wrapper overhead; not a full-core overhead claim
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_lut,2814,6859,4045.00,143.75,full-core board-level mapped overhead from same-target place-and-route PASS rows
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_ff,883,3901,3018.00,341.79,full-core board-level mapped overhead from same-target place-and-route PASS rows
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_bram,6,6,0.00,0.00,full-core board-level mapped overhead from same-target place-and-route PASS rows
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_fmax_mhz,63.47,50.70,-12.77,-20.12,full-core board-level mapped overhead from same-target place-and-route PASS rows
ecp5-45k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_lut,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ecp5-45k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_ff,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ecp5-45k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_bram,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ecp5-45k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board_to_full_core_replaycapsule_board_fmax_mhz,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,full_core_baseline_board_to_full_core_replaycapsule_board_lut,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,full_core_baseline_board_to_full_core_replaycapsule_board_ff,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,full_core_baseline_board_to_full_core_replaycapsule_board_bram,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
ice40-hx8k,yosys+synth_ice40+nextpnr-ice40,full_core_baseline_board_to_full_core_replaycapsule_board_fmax_mhz,NA,NA,NA,NA,full-core board-level mapped overhead from same-target place-and-route PASS rows; requires both same-target rows to PASS
