target,flow,memory_words,buffer_depth,recorder_config,metric,baseline,with_replaycapsule,delta,percent_overhead,claim_allowed,notes
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,lut,3342,7508,4166.00,124.66,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,ff,883,3901,3018.00,341.79,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,bram,4,4,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,fmax_mhz,65.07,51.53,-13.54,-20.81,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,lut,3359,7570,4211.00,125.36,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,ff,883,3901,3018.00,341.79,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,bram,6,6,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,fmax_mhz,68.06,50.72,-17.34,-25.48,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,lut,3359,9491,6132.00,182.55,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,ff,883,6591,5708.00,646.43,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,bram,6,6,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,fmax_mhz,68.06,50.57,-17.49,-25.70,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,lut,3359,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,ff,883,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,bram,6,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,fmax_mhz,68.06,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,lut,3367,9497,6130.00,182.06,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,ff,883,6591,5708.00,646.43,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,bram,10,10,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,fmax_mhz,63.10,52.04,-11.06,-17.53,yes,same-target mapped overhead
