benchmark,variant,seed,workload_scale,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,notes
sensor_threshold_bug,failing,1,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,2,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,3,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,4,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,5,smoke,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,1,short,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,2,short,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,3,short,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,4,short,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,5,short,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,record/replay complete
sensor_threshold_bug,failing,1,medium,compiler_c_scaled,true,6023,1314,256,5376,194.824962,6023,1314,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,2,medium,compiler_c_scaled,true,6023,1314,256,5376,194.824962,6023,1314,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,3,medium,compiler_c_scaled,true,6023,1314,256,5376,194.824962,6023,1314,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,4,medium,compiler_c_scaled,true,6023,1314,256,5376,194.824962,6023,1314,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,5,medium,compiler_c_scaled,true,6023,1314,256,5376,194.824962,6023,1314,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,1,long,compiler_c_scaled,true,23687,5154,256,5376,49.670159,23687,5154,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,2,long,compiler_c_scaled,true,23687,5154,256,5376,49.670159,23687,5154,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,3,long,compiler_c_scaled,true,23687,5154,256,5376,49.670159,23687,5154,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,4,long,compiler_c_scaled,true,23687,5154,256,5376,49.670159,23687,5154,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,5,long,compiler_c_scaled,true,23687,5154,256,5376,49.670159,23687,5154,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,1,stress,compiler_c_scaled,true,94343,20514,256,5376,12.479282,94343,20514,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,2,stress,compiler_c_scaled,true,94343,20514,256,5376,12.479282,94343,20514,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,3,stress,compiler_c_scaled,true,94343,20514,256,5376,12.479282,94343,20514,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,4,stress,compiler_c_scaled,true,94343,20514,256,5376,12.479282,94343,20514,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,failing,5,stress,compiler_c_scaled,true,94343,20514,256,5376,12.479282,94343,20514,3,FAIL,FAIL,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,1,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,2,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,3,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,4,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,5,smoke,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,1,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,2,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,3,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,4,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,5,short,compiler_c_scaled,true,10000,3157,256,5376,81.089642,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,fixed,1,medium,compiler_c_scaled,true,50000,15978,256,5376,16.022030,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,2,medium,compiler_c_scaled,true,50000,15978,256,5376,16.022030,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,3,medium,compiler_c_scaled,true,50000,15978,256,5376,16.022030,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,4,medium,compiler_c_scaled,true,50000,15978,256,5376,16.022030,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,5,medium,compiler_c_scaled,true,50000,15978,256,5376,16.022030,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,1,long,compiler_c_scaled,true,100000,30597,256,5376,8.366833,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,2,long,compiler_c_scaled,true,100000,30597,256,5376,8.366833,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,3,long,compiler_c_scaled,true,100000,30597,256,5376,8.366833,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,4,long,compiler_c_scaled,true,100000,30597,256,5376,8.366833,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,5,long,compiler_c_scaled,true,100000,30597,256,5376,8.366833,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,1,stress,compiler_c_scaled,true,200000,55738,256,5376,4.592917,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,2,stress,compiler_c_scaled,true,200000,55738,256,5376,4.592917,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,3,stress,compiler_c_scaled,true,200000,55738,256,5376,4.592917,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,4,stress,compiler_c_scaled,true,200000,55738,256,5376,4.592917,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,fixed,5,stress,compiler_c_scaled,true,200000,55738,256,5376,4.592917,NA,NA,0,FAIL,PASS,FAIL,true,error_code=REPLAY_STIMULUS
sensor_threshold_bug,no_failure_edge,1,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,2,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,3,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,4,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,5,smoke,compiler_c_scaled,true,5000,1661,256,5376,154.124022,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,1,short,compiler_c_scaled,true,10000,3158,256,5376,81.063965,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,2,short,compiler_c_scaled,true,10000,3158,256,5376,81.063965,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,3,short,compiler_c_scaled,true,10000,3158,256,5376,81.063965,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,4,short,compiler_c_scaled,true,10000,3158,256,5376,81.063965,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
sensor_threshold_bug,no_failure_edge,5,short,compiler_c_scaled,true,10000,3158,256,5376,81.063965,NA,NA,0,PASS,PASS,PASS,true,record/replay complete
