bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00001,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00002,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00003,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,fixed,1,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00004,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,fixed,2,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00005,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,fixed,3,NA,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00006,ORIGINAL_REPLAY,v2,hashed,sensor_threshold_bug,no_failure_edge,1,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00007,ORIGINAL_REPLAY,v2,hashed,sensor_threshold_bug,no_failure_edge,2,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00008,ORIGINAL_REPLAY,v2,hashed,sensor_threshold_bug,no_failure_edge,3,NA,NA,NA,NA,NA,FAIL,UNEXPECTED_FAILURE,replay_status,UNEXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=UNEXPECTED_FAILURE
V2ZF-00009,ORIGINAL_REPLAY,v2,hashed,uart_command_bug,failing,1,NA,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,NO_EXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00010,ORIGINAL_REPLAY,v2,hashed,uart_command_bug,failing,2,NA,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,NO_EXPECTED_FAILURE,results/processed/full_rtl_replay_v2.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
