architecture,recorder_config,benchmark,variant,seed,workload_scale,measured_or_estimated,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,notes
v2,core,sensor_threshold_bug,failing,1,smoke,MEASURED,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,2,smoke,MEASURED,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,3,smoke,MEASURED,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,4,smoke,MEASURED,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,5,smoke,MEASURED,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,1,short,MEASURED,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,2,short,MEASURED,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,3,short,MEASURED,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,4,short,MEASURED,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,5,short,MEASURED,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,1,medium,MEASURED,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,2,medium,MEASURED,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,3,medium,MEASURED,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,4,medium,MEASURED,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,5,medium,MEASURED,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,1,long,MEASURED,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,2,long,MEASURED,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,3,long,MEASURED,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,4,long,MEASURED,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,5,long,MEASURED,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,1,stress,MEASURED,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,2,stress,MEASURED,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,3,stress,MEASURED,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,4,stress,MEASURED,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,failing,5,stress,MEASURED,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,smoke,MEASURED,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,smoke,MEASURED,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,smoke,MEASURED,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,smoke,MEASURED,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,smoke,MEASURED,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,short,MEASURED,compiler_c_scaled,true,10000,3157,3,24,0.950269,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,short,MEASURED,compiler_c_scaled,true,10000,3157,3,24,0.950269,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,short,MEASURED,compiler_c_scaled,true,10000,3157,3,24,0.950269,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,short,MEASURED,compiler_c_scaled,true,10000,3157,3,24,0.950269,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,short,MEASURED,compiler_c_scaled,true,10000,3157,3,24,0.950269,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,medium,MEASURED,compiler_c_scaled,true,50000,15978,3,24,0.187758,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,medium,MEASURED,compiler_c_scaled,true,50000,15978,3,24,0.187758,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,medium,MEASURED,compiler_c_scaled,true,50000,15978,3,24,0.187758,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,medium,MEASURED,compiler_c_scaled,true,50000,15978,3,24,0.187758,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,medium,MEASURED,compiler_c_scaled,true,50000,15978,3,24,0.187758,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,long,MEASURED,compiler_c_scaled,true,100000,30597,3,24,0.098049,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,long,MEASURED,compiler_c_scaled,true,100000,30597,3,24,0.098049,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,long,MEASURED,compiler_c_scaled,true,100000,30597,3,24,0.098049,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,long,MEASURED,compiler_c_scaled,true,100000,30597,3,24,0.098049,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,long,MEASURED,compiler_c_scaled,true,100000,30597,3,24,0.098049,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,stress,MEASURED,compiler_c_scaled,true,200000,55738,3,24,0.053823,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,stress,MEASURED,compiler_c_scaled,true,200000,55738,3,24,0.053823,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,stress,MEASURED,compiler_c_scaled,true,200000,55738,3,24,0.053823,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,stress,MEASURED,compiler_c_scaled,true,200000,55738,3,24,0.053823,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,stress,MEASURED,compiler_c_scaled,true,200000,55738,3,24,0.053823,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,1,smoke,MEASURED,compiler_c_scaled,true,5000,1661,1,8,0.602047,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,2,smoke,MEASURED,compiler_c_scaled,true,5000,1661,1,8,0.602047,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,3,smoke,MEASURED,compiler_c_scaled,true,5000,1661,1,8,0.602047,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,4,smoke,MEASURED,compiler_c_scaled,true,5000,1661,1,8,0.602047,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,5,smoke,MEASURED,compiler_c_scaled,true,5000,1661,1,8,0.602047,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,1,short,MEASURED,compiler_c_scaled,true,10000,3158,1,8,0.316656,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,2,short,MEASURED,compiler_c_scaled,true,10000,3158,1,8,0.316656,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,3,short,MEASURED,compiler_c_scaled,true,10000,3158,1,8,0.316656,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,4,short,MEASURED,compiler_c_scaled,true,10000,3158,1,8,0.316656,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,5,short,MEASURED,compiler_c_scaled,true,10000,3158,1,8,0.316656,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,1,medium,MEASURED,compiler_c_scaled,true,50000,15979,1,8,0.062582,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,2,medium,MEASURED,compiler_c_scaled,true,50000,15979,1,8,0.062582,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,3,medium,MEASURED,compiler_c_scaled,true,50000,15979,1,8,0.062582,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,4,medium,MEASURED,compiler_c_scaled,true,50000,15979,1,8,0.062582,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,5,medium,MEASURED,compiler_c_scaled,true,50000,15979,1,8,0.062582,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,1,long,MEASURED,compiler_c_scaled,true,100000,30598,1,8,0.032682,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,2,long,MEASURED,compiler_c_scaled,true,100000,30598,1,8,0.032682,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,3,long,MEASURED,compiler_c_scaled,true,100000,30598,1,8,0.032682,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,4,long,MEASURED,compiler_c_scaled,true,100000,30598,1,8,0.032682,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,5,long,MEASURED,compiler_c_scaled,true,100000,30598,1,8,0.032682,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,1,stress,MEASURED,compiler_c_scaled,true,200000,55739,1,8,0.017941,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,2,stress,MEASURED,compiler_c_scaled,true,200000,55739,1,8,0.017941,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,3,stress,MEASURED,compiler_c_scaled,true,200000,55739,1,8,0.017941,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,4,stress,MEASURED,compiler_c_scaled,true,200000,55739,1,8,0.017941,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,sensor_threshold_bug,no_failure_edge,5,stress,MEASURED,compiler_c_scaled,true,200000,55739,1,8,0.017941,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,1,smoke,MEASURED,compiler_c_scaled,true,61,15,2,16,133.333333,61,15,2,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,2,smoke,MEASURED,compiler_c_scaled,true,61,15,2,16,133.333333,61,15,2,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,3,smoke,MEASURED,compiler_c_scaled,true,61,15,2,16,133.333333,61,15,2,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,4,smoke,MEASURED,compiler_c_scaled,true,61,15,2,16,133.333333,61,15,2,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,5,smoke,MEASURED,compiler_c_scaled,true,61,15,2,16,133.333333,61,15,2,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,failing,1,short,MEASURED,compiler_c_scaled,true,1537,337,2,16,5.934718,1537,337,2,FAIL,FAIL,FAIL,false,error_code=EVENT_MISMATCH
v2,core,interrupt_race_bug,failing,2,short,MEASURED,compiler_c_scaled,true,1537,337,2,16,5.934718,1537,337,2,FAIL,FAIL,FAIL,false,error_code=EVENT_MISMATCH
v2,core,interrupt_race_bug,failing,3,short,MEASURED,compiler_c_scaled,true,1537,337,2,16,5.934718,1537,337,2,FAIL,FAIL,FAIL,false,error_code=EVENT_MISMATCH
v2,core,interrupt_race_bug,failing,4,short,MEASURED,compiler_c_scaled,true,1537,337,2,16,5.934718,1537,337,2,FAIL,FAIL,FAIL,false,error_code=EVENT_MISMATCH
