ablation,benchmark,status,replay_success,evidence_level,reason
remove_branch_events,sensor_threshold_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_store_events,sensor_threshold_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_mmio_read_values,sensor_threshold_bug,MEASURED,False,model,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read'; extra observed mmio event at commit 1: addr=0x40000000 value=0x0 direction='read'
remove_interrupt_timing,sensor_threshold_bug,MEASURED,False,model,missing interrupt event at commit 4: irq='timer0' state='taken'; missing interrupt event at commit 4: irq='timer0' state='return'
remove_external_input_values,sensor_threshold_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_checkpoint_hashes,sensor_threshold_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_property_aware_slicing,sensor_threshold_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
capsule_buffer_size_2,sensor_threshold_bug,MEASURED,False,model,model property-aware event count 4 exceeds buffer 2; overflow invalidates replay
capsule_buffer_size_4,sensor_threshold_bug,MEASURED,True,model,model property-aware event count 4 fits buffer 4
capsule_buffer_size_8,sensor_threshold_bug,MEASURED,True,model,model property-aware event count 4 fits buffer 8
capsule_buffer_size_16,sensor_threshold_bug,MEASURED,True,model,model property-aware event count 4 fits buffer 16
last_k_context_0,sensor_threshold_bug,MEASURED,True,model,model replay evidence retained by this context window
last_k_context_1,sensor_threshold_bug,MEASURED,True,model,model replay evidence retained by this context window
last_k_context_4,sensor_threshold_bug,MEASURED,True,model,model replay evidence retained by this context window
remove_branch_events,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_store_events,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_mmio_read_values,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_interrupt_timing,interrupt_race_bug,MEASURED,False,model,missing interrupt event at commit 3: irq='timer0' state='taken'; missing interrupt event at commit 3: irq='timer0' state='return'
remove_external_input_values,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_checkpoint_hashes,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
remove_property_aware_slicing,interrupt_race_bug,MEASURED,True,model,no replay mismatch observed for this model benchmark
capsule_buffer_size_2,interrupt_race_bug,MEASURED,False,model,model property-aware event count 5 exceeds buffer 2; overflow invalidates replay
capsule_buffer_size_4,interrupt_race_bug,MEASURED,False,model,model property-aware event count 5 exceeds buffer 4; overflow invalidates replay
capsule_buffer_size_8,interrupt_race_bug,MEASURED,True,model,model property-aware event count 5 fits buffer 8
capsule_buffer_size_16,interrupt_race_bug,MEASURED,True,model,model property-aware event count 5 fits buffer 16
last_k_context_0,interrupt_race_bug,MEASURED,True,model,model replay evidence retained by this context window
last_k_context_1,interrupt_race_bug,MEASURED,True,model,model replay evidence retained by this context window
