buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
4,long,6.666667,93.333333,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4,medium,6.666667,93.333333,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4,short,6.666667,93.333333,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4,smoke,6.666667,93.333333,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4,stress,6.666667,93.333333,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
32,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
32,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
32,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
32,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
32,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
64,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
64,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
64,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
64,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
64,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
128,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
128,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
128,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
128,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
128,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
256,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
256,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
256,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
256,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
256,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
512,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
512,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
512,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
512,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
512,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
1024,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
1024,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
1024,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
1024,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
1024,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
2048,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
2048,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
2048,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
2048,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
2048,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4096,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4096,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4096,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4096,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
4096,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8192,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8192,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8192,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8192,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
8192,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16384,long,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16384,medium,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16384,short,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16384,smoke,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
16384,stress,0.000000,100.000000,8.000000,1.000000,75,summary of analytic overflow/replay availability against measured event counts
