architecture,recorder_config,benchmark,variant,seed,workload_scale,buffer_depth,measured_or_estimated,events,capsule_bytes,overflow,replay_status,notes
v2,core,sensor_threshold_bug,failing,1,smoke,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,2,smoke,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,3,smoke,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,4,smoke,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,5,smoke,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,1,short,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,2,short,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,3,short,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,4,short,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,5,short,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,1,medium,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,2,medium,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,3,medium,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,4,medium,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,5,medium,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,1,long,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,2,long,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,3,long,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,4,long,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,5,long,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,1,stress,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,2,stress,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,3,stress,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,4,stress,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,failing,5,stress,64,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,1,smoke,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,2,smoke,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,3,smoke,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,4,smoke,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,5,smoke,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,1,short,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,2,short,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,3,short,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,4,short,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,5,short,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,1,medium,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,2,medium,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,3,medium,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,4,medium,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,5,medium,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,1,long,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,2,long,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
v2,core,sensor_threshold_bug,fixed,3,long,64,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 64
