architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v1,full,4,long,100.000000,0.000000,86016.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,4,medium,100.000000,0.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,4,short,100.000000,0.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,4,smoke,86.666667,13.333333,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,4,stress,100.000000,0.000000,344064.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,8,long,100.000000,0.000000,86016.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,8,medium,100.000000,0.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,8,short,100.000000,0.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,8,smoke,66.666667,33.333333,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,8,stress,100.000000,0.000000,344064.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,16,long,100.000000,0.000000,86016.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,16,medium,100.000000,0.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,16,short,100.000000,0.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,16,smoke,60.000000,40.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,16,stress,100.000000,0.000000,344064.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,32,long,100.000000,0.000000,86016.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,32,medium,100.000000,0.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,32,short,100.000000,0.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,32,smoke,60.000000,40.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,32,stress,100.000000,0.000000,344064.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,64,long,100.000000,0.000000,86016.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,64,medium,100.000000,0.000000,21504.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v1,full,64,short,100.000000,0.000000,5376.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
