benchmark,buffer_depth,event_count,overflow,replay_available,capsule_bytes,notes
long_polling_rare_mmio_trigger,4,19,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
long_polling_rare_mmio_trigger,8,19,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
long_polling_rare_mmio_trigger,16,19,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
long_polling_rare_mmio_trigger,32,19,False,True,399,synthetic model buffer sweep; overflow invalidates replay availability
long_polling_rare_mmio_trigger,64,19,False,True,399,synthetic model buffer sweep; overflow invalidates replay availability
long_polling_rare_mmio_trigger,128,19,False,True,399,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,4,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,8,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,16,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,32,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,64,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
interrupt_storm_mask_windows,128,132,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,4,69,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,8,69,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,16,69,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,32,69,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,64,69,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
uart_command_stream_delayed_unsafe,128,69,False,True,1449,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,4,36,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,8,36,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,16,36,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,32,36,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,64,36,False,True,756,synthetic model buffer sweep; overflow invalidates replay availability
watchdog_heartbeat_long,128,36,False,True,756,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,4,88,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,8,88,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,16,88,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,32,88,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,64,88,True,False,0,synthetic model buffer sweep; overflow invalidates replay availability
stack_corruption_after_stores,128,88,False,True,1848,synthetic model buffer sweep; overflow invalidates replay availability
