architecture,recorder_config,benchmark,variant,seed,workload_scale,baseline,measured_or_estimated,bytes,events,replay_success,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,notes
baseline,baseline,interrupt_race_bug,failing,1,long,full_instruction_trace,ESTIMATED,41096,5137,NA,NA,NA,0.00,50.00,-903.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,failing,1,long,full_commit_trace,ESTIMATED,82192,5137,NA,NA,NA,-100.00,0.00,-1906.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,failing,1,long,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,90.03,95.02,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,failing,1,long,v1_full,MEASURED,43092,2052,true,PASS,PASS,-4.86,47.57,-952.05,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,failing,1,long,v2_core,MEASURED,16,2,true,PASS,PASS,99.96,99.98,99.61,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,failing,1,long,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.96,99.98,99.61,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,failing,1,long,v2_full,MEASURED,1936,242,true,PASS,PASS,95.29,97.64,52.73,MEASURED v2 exported capsule
baseline,baseline,interrupt_race_bug,failing,1,medium,full_instruction_trace,ESTIMATED,10376,1297,NA,NA,NA,0.00,50.00,-153.32,ESTIMATED formula=commits*(pc+instruction=8B)
baseline,baseline,interrupt_race_bug,failing,1,medium,full_commit_trace,ESTIMATED,20752,1297,NA,NA,NA,-100.00,0.00,-406.64,ESTIMATED formula=commits*(pc+instruction+digest=16B)
baseline,baseline,interrupt_race_bug,failing,1,medium,snapshot_at_failure,ESTIMATED,4096,1,NA,NA,NA,60.52,80.26,0.00,ESTIMATED fixed 4KiB state snapshot
v1,full,interrupt_race_bug,failing,1,medium,v1_full,MEASURED,10836,516,true,PASS,PASS,-4.43,47.78,-164.55,MEASURED v1 workload capsule
v2,core,interrupt_race_bug,failing,1,medium,v2_core,MEASURED,16,2,true,PASS,PASS,99.85,99.92,99.61,MEASURED v2 exported capsule
v2,hashed,interrupt_race_bug,failing,1,medium,v2_hashed,MEASURED,16,2,true,PASS,PASS,99.85,99.92,99.61,MEASURED v2 exported capsule
v2,full,interrupt_race_bug,failing,1,medium,v2_full,MEASURED,1936,242,true,PASS,PASS,81.34,90.67,52.73,MEASURED v2 exported capsule
