baseline,workload_scale,median_buffer_depth,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
branch_trace,long,4096.000000,36804.000000,27014.400000,12300.000000,36840.000000,84.950000,92.470000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,medium,1024.000000,9156.000000,6739.200000,3084.000000,9192.000000,92.810000,96.400000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,short,256.000000,2244.000000,1670.400000,780.000000,2280.000000,90.980000,95.490000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,smoke,256.000000,3012.000000,1828.800000,24.000000,3048.000000,77.320000,88.660000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,stress,16384.000000,147396.000000,108115.200000,49164.000000,147432.000000,66.940000,83.470000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,long,4096.000000,489536.000000,326643.200000,82192.000000,489568.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,medium,1024.000000,255648.000000,161725.866667,20752.000000,255664.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,short,256.000000,50496.000000,32499.200000,5392.000000,50528.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,smoke,256.000000,26560.000000,16064.000000,224.000000,26576.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,stress,16384.000000,891808.000000,666301.866667,327952.000000,891824.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,long,4096.000000,244768.000000,163321.600000,41096.000000,244784.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,medium,1024.000000,127824.000000,80862.933333,10376.000000,127832.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,short,256.000000,25248.000000,16249.600000,2696.000000,25264.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,smoke,256.000000,13280.000000,8032.000000,112.000000,13288.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,stress,16384.000000,445904.000000,333150.933333,163976.000000,445912.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,long,4096.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,medium,1024.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,short,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,smoke,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,stress,16384.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,long,4096.000000,12.000000,24.000000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,medium,1024.000000,12.000000,24.000000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,short,256.000000,12.000000,24.000000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,smoke,256.000000,12.000000,24.000000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,stress,16384.000000,12.000000,24.000000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,long,4096.000000,12324.000000,12328.800000,12312.000000,12396.000000,94.960000,97.480000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,medium,1024.000000,3108.000000,3112.800000,3096.000000,3180.000000,97.550000,98.770000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,short,256.000000,804.000000,808.800000,792.000000,876.000000,96.720000,98.360000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,smoke,256.000000,36.000000,40.800000,24.000000,108.000000,99.550000,99.770000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,stress,16384.000000,49188.000000,49192.800000,49176.000000,49260.000000,88.960000,94.480000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,long,4096.000000,12.000000,23.200000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,medium,1024.000000,12.000000,23.200000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,short,256.000000,12.000000,23.200000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,smoke,256.000000,12.000000,23.200000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,stress,16384.000000,12.000000,23.200000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,long,4096.000000,122384.000000,81660.800000,20548.000000,122392.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,medium,1024.000000,63912.000000,40431.466667,5188.000000,63916.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,short,256.000000,12624.000000,8124.800000,1348.000000,12632.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,smoke,256.000000,6640.000000,4016.000000,56.000000,6644.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,stress,16384.000000,222952.000000,166575.466667,81988.000000,222956.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,long,4096.000000,86016.000000,68852.000000,43071.000000,86016.000000,64.860000,82.430000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,medium,1024.000000,21504.000000,17242.400000,10815.000000,21504.000000,83.180000,91.590000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,short,256.000000,5376.000000,4340.000000,2751.000000,5376.000000,78.710000,89.350000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,smoke,256.000000,5376.000000,3273.200000,84.000000,5376.000000,59.520000,79.760000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,stress,16384.000000,344064.000000,275290.400000,172095.000000,344064.000000,22.840000,61.420000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,long,4096.000000,118784.000000,95081.333333,59479.000000,118784.000000,51.470000,75.740000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,medium,1024.000000,29696.000000,23810.933333,14935.000000,29696.000000,76.770000,88.380000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,short,256.000000,7424.000000,5993.333333,3799.000000,7424.000000,70.600000,85.300000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,smoke,256.000000,7424.000000,4520.133333,116.000000,7424.000000,44.100000,72.050000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,stress,16384.000000,475136.000000,380162.933333,237655.000000,475136.000000,-6.560000,46.720000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,long,4096.000000,102400.000000,81966.666667,51275.000000,102400.000000,58.160000,79.080000,75,summary preserves ESTIMATED labels in detailed CSV
