baseline,workload_scale,median_buffer_depth,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
branch_trace,long,256.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,medium,256.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,short,256.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,smoke,256.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
branch_trace,stress,256.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,long,256.000000,489536.000000,326635.733333,82176.000000,489568.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,medium,256.000000,255648.000000,161718.400000,20736.000000,255664.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,short,256.000000,50496.000000,32491.733333,5376.000000,50528.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,smoke,256.000000,26560.000000,16062.933333,240.000000,26576.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_commit_trace,stress,256.000000,891808.000000,666294.400000,327936.000000,891824.000000,-100.000000,0.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,long,256.000000,244768.000000,163317.866667,41088.000000,244784.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,medium,256.000000,127824.000000,80859.200000,10368.000000,127832.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,short,256.000000,25248.000000,16245.866667,2688.000000,25264.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,smoke,256.000000,13280.000000,8031.466667,120.000000,13288.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
full_instruction_trace,stress,256.000000,445904.000000,333147.200000,163968.000000,445912.000000,0.000000,50.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,long,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,medium,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,short,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,smoke,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_only_trace,stress,256.000000,0.000000,0.800000,0.000000,12.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,long,256.000000,12.000000,24.000000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,medium,256.000000,12.000000,24.000000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,short,256.000000,12.000000,24.000000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,smoke,256.000000,12.000000,24.000000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
interrupt_plus_mmio_trace,stress,256.000000,12.000000,24.000000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,long,256.000000,12.000000,23.200000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,medium,256.000000,12.000000,23.200000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,short,256.000000,12.000000,23.200000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,smoke,256.000000,12.000000,23.200000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
load_store_trace,stress,256.000000,12.000000,23.200000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,long,256.000000,12.000000,23.200000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,medium,256.000000,12.000000,23.200000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,short,256.000000,12.000000,23.200000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,smoke,256.000000,12.000000,23.200000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
mmio_only_trace,stress,256.000000,12.000000,23.200000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,long,256.000000,122384.000000,81658.933333,20544.000000,122392.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,medium,256.000000,63912.000000,40429.600000,5184.000000,63916.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,short,256.000000,12624.000000,8122.933333,1344.000000,12632.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,smoke,256.000000,6640.000000,4015.733333,60.000000,6644.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
pc_only_trace,stress,256.000000,222952.000000,166573.600000,81984.000000,222956.000000,50.000000,75.000000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,long,256.000000,8.000000,16.000000,0.000000,64.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,medium,256.000000,8.000000,16.000000,0.000000,64.000000,99.980000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,short,256.000000,8.000000,16.000000,0.000000,64.000000,99.900000,99.950000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,smoke,256.000000,8.000000,16.000000,0.000000,64.000000,99.820000,99.910000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_core,stress,256.000000,8.000000,16.000000,0.000000,64.000000,100.000000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,long,256.000000,16.000000,32.000000,0.000000,128.000000,99.980000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,medium,256.000000,16.000000,32.000000,0.000000,128.000000,99.960000,99.980000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,short,256.000000,16.000000,32.000000,0.000000,128.000000,99.810000,99.900000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,smoke,256.000000,16.000000,32.000000,0.000000,128.000000,99.640000,99.820000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_diagnostics,stress,256.000000,16.000000,32.000000,0.000000,128.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,long,256.000000,12.000000,24.000000,0.000000,96.000000,99.990000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,medium,256.000000,12.000000,24.000000,0.000000,96.000000,99.970000,99.990000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,short,256.000000,12.000000,24.000000,0.000000,96.000000,99.860000,99.930000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,smoke,256.000000,12.000000,24.000000,0.000000,96.000000,99.730000,99.860000,75,summary preserves ESTIMATED labels in detailed CSV
replaycapsule_with_payload_hashes,stress,256.000000,12.000000,24.000000,0.000000,96.000000,99.990000,100.000000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,long,256.000000,3832.000000,2557.866667,648.000000,3832.000000,98.430000,99.220000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,medium,256.000000,2000.000000,1267.200000,168.000000,2000.000000,98.440000,99.220000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,short,256.000000,400.000000,259.200000,48.000000,400.000000,98.420000,99.210000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,smoke,256.000000,208.000000,128.000000,8.000000,208.000000,98.430000,99.220000,75,summary preserves ESTIMATED labels in detailed CSV
riscv_etrace_branch_trace_estimate,stress,256.000000,6968.000000,5208.000000,2568.000000,6968.000000,98.440000,99.220000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,long,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,98.330000,99.160000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,medium,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,96.800000,98.400000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,short,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,83.780000,91.890000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,smoke,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,69.160000,84.580000,75,summary preserves ESTIMATED labels in detailed CSV
snapshot_at_failure,stress,256.000000,4096.000000,4096.000000,4096.000000,4096.000000,99.080000,99.540000,75,summary preserves ESTIMATED labels in detailed CSV
