architecture,recorder_config,baseline,workload_scale,measured_rows,estimated_rows,pass_count,fail_count,median_bytes,median_reduction_vs_full_instruction_pct,n,notes
baseline,baseline,full_commit_trace,long,0,75,0,0,489536.000000,-100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_commit_trace,medium,0,75,0,0,255648.000000,-100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_commit_trace,short,0,75,0,0,50496.000000,-100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_commit_trace,smoke,0,75,0,0,26560.000000,-100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_commit_trace,stress,0,75,0,0,891808.000000,-100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_instruction_trace,long,0,75,0,0,244768.000000,0.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_instruction_trace,medium,0,75,0,0,127824.000000,0.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_instruction_trace,short,0,75,0,0,25248.000000,0.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_instruction_trace,smoke,0,75,0,0,13280.000000,0.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,full_instruction_trace,stress,0,75,0,0,445904.000000,0.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,snapshot_at_failure,long,0,75,0,0,4096.000000,98.330000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,snapshot_at_failure,medium,0,75,0,0,4096.000000,96.800000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,snapshot_at_failure,short,0,75,0,0,4096.000000,83.780000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,snapshot_at_failure,smoke,0,75,0,0,4096.000000,69.160000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
baseline,baseline,snapshot_at_failure,stress,0,75,0,0,4096.000000,99.080000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v1,full,v1_full,long,75,0,75,0,86016.000000,64.860000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v1,full,v1_full,medium,75,0,75,0,21504.000000,83.180000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v1,full,v1_full,short,75,0,75,0,5376.000000,78.710000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v1,full,v1_full,smoke,75,0,75,0,5376.000000,59.520000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v1,full,v1_full,stress,75,0,75,0,344064.000000,22.840000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,core,v2_core,long,75,0,75,0,8.000000,99.990000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,core,v2_core,medium,75,0,75,0,8.000000,99.980000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,core,v2_core,short,75,0,75,0,8.000000,99.900000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,core,v2_core,smoke,75,0,75,0,8.000000,99.820000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,core,v2_core,stress,75,0,75,0,8.000000,100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,full,v2_full,long,75,0,75,0,1928.000000,99.200000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,full,v2_full,medium,75,0,75,0,1928.000000,98.470000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,full,v2_full,short,75,0,75,0,1928.000000,92.270000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,full,v2_full,smoke,75,0,75,0,1920.000000,85.540000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,full,v2_full,stress,75,0,75,0,1928.000000,99.560000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,hashed,v2_hashed,long,75,0,75,0,8.000000,99.990000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,hashed,v2_hashed,medium,75,0,75,0,8.000000,99.980000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,hashed,v2_hashed,short,75,0,75,0,8.000000,99.900000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,hashed,v2_hashed,smoke,75,0,75,0,8.000000,99.820000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
v2,hashed,v2_hashed,stress,75,0,75,0,8.000000,100.000000,75,v2 baseline rows are measured only when measured_or_estimated=MEASURED
