benchmark,variant,first_hex,second_hex,first_sha256,second_sha256,status,notes
interrupt_race_bug,failing,build/deterministic_firmware/first/interrupt_race_bug/failing.hex,build/deterministic_firmware/second/interrupt_race_bug/failing.hex,b32dec58f2cb5432493a6d0369d0055ebcd0b9834962f6d13afbe7ccf8ae56b1,b32dec58f2cb5432493a6d0369d0055ebcd0b9834962f6d13afbe7ccf8ae56b1,PASS,hashes match
interrupt_race_bug,fixed,build/deterministic_firmware/first/interrupt_race_bug/fixed.hex,build/deterministic_firmware/second/interrupt_race_bug/fixed.hex,018e63a7551d2a1cecaac51b19849863dab3689431d713ffe323af379d01cef9,018e63a7551d2a1cecaac51b19849863dab3689431d713ffe323af379d01cef9,PASS,hashes match
mmio_ordering_bug,failing,build/deterministic_firmware/first/mmio_ordering_bug/failing.hex,build/deterministic_firmware/second/mmio_ordering_bug/failing.hex,8110020458b88dc49e7afabcd9eb9b790aefc5d6a5d9873487ea4c638ae79d3a,8110020458b88dc49e7afabcd9eb9b790aefc5d6a5d9873487ea4c638ae79d3a,PASS,hashes match
mmio_ordering_bug,fixed,build/deterministic_firmware/first/mmio_ordering_bug/fixed.hex,build/deterministic_firmware/second/mmio_ordering_bug/fixed.hex,88b2f64b02a0238d0b8ffe112a7730e753136fe9c76389f498d41a57e3b135e7,88b2f64b02a0238d0b8ffe112a7730e753136fe9c76389f498d41a57e3b135e7,PASS,hashes match
sensor_threshold_bug,failing,build/deterministic_firmware/first/sensor_threshold_bug/failing.hex,build/deterministic_firmware/second/sensor_threshold_bug/failing.hex,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,PASS,hashes match
sensor_threshold_bug,fixed,build/deterministic_firmware/first/sensor_threshold_bug/fixed.hex,build/deterministic_firmware/second/sensor_threshold_bug/fixed.hex,a66635baf68c4d93fa88534e991fcee2dcbc482efce8eae57b6736f5ea2f7ebc,a66635baf68c4d93fa88534e991fcee2dcbc482efce8eae57b6736f5ea2f7ebc,PASS,hashes match
sensor_threshold_bug,no_failure_edge,build/deterministic_firmware/first/sensor_threshold_bug/no_failure_edge.hex,build/deterministic_firmware/second/sensor_threshold_bug/no_failure_edge.hex,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,PASS,hashes match
stack_corruption_bug,failing,build/deterministic_firmware/first/stack_corruption_bug/failing.hex,build/deterministic_firmware/second/stack_corruption_bug/failing.hex,40983e6a042993a0cd36d93d23eb2ee9c776b444963d69ca6c49f35e2ca2408e,40983e6a042993a0cd36d93d23eb2ee9c776b444963d69ca6c49f35e2ca2408e,PASS,hashes match
stack_corruption_bug,fixed,build/deterministic_firmware/first/stack_corruption_bug/fixed.hex,build/deterministic_firmware/second/stack_corruption_bug/fixed.hex,57f359e8f09438652d0a553b60fe9e8609063a1a98f3059d65bfc869411b50ac,57f359e8f09438652d0a553b60fe9e8609063a1a98f3059d65bfc869411b50ac,PASS,hashes match
uart_command_bug,failing,build/deterministic_firmware/first/uart_command_bug/failing.hex,build/deterministic_firmware/second/uart_command_bug/failing.hex,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,PASS,hashes match
uart_command_bug,fixed,build/deterministic_firmware/first/uart_command_bug/fixed.hex,build/deterministic_firmware/second/uart_command_bug/fixed.hex,20d453220a7419c45b4a3600cff127297e2d9cdb9c9bc99feb5ac4291aedca62,20d453220a7419c45b4a3600cff127297e2d9cdb9c9bc99feb5ac4291aedca62,PASS,hashes match
uart_command_bug,no_failure_edge,build/deterministic_firmware/first/uart_command_bug/no_failure_edge.hex,build/deterministic_firmware/second/uart_command_bug/no_failure_edge.hex,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,1824d04462a3495f4df66d3956ae15c82c90456a862ad28b0506cd530db29126,PASS,hashes match
watchdog_timeout_bug,failing,build/deterministic_firmware/first/watchdog_timeout_bug/failing.hex,build/deterministic_firmware/second/watchdog_timeout_bug/failing.hex,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,PASS,hashes match
watchdog_timeout_bug,fixed,build/deterministic_firmware/first/watchdog_timeout_bug/fixed.hex,build/deterministic_firmware/second/watchdog_timeout_bug/fixed.hex,684a58f5b6a6b48c81e4fd23ad93f17964d78b4a21bcf275c3c3f6b2fb85fd5a,684a58f5b6a6b48c81e4fd23ad93f17964d78b4a21bcf275c3c3f6b2fb85fd5a,PASS,hashes match
watchdog_timeout_bug,no_failure_edge,build/deterministic_firmware/first/watchdog_timeout_bug/no_failure_edge.hex,build/deterministic_firmware/second/watchdog_timeout_bug/no_failure_edge.hex,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,b7bb743011a473f5ebbbc81a26d3c48536f67f99bb605c3752728f7bc60398c8,PASS,hashes match
