experiment_group,experiment_id,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,recorder_config,target,flow,required_for_top_conference,expected_output,status,notes
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,failing,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
Capsule-size baseline comparison,quick_capsule_baseline,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,quick
Replay correctness,quick_replay,sensor_threshold_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,quick
Runtime overhead,quick_runtime,sensor_threshold_bug,no_failure_edge,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,quick
