benchmark,variant,seed,fallback_status,compiler_status,fallback_property_id,compiler_property_id,fallback_cycles_to_failure,compiler_cycles_to_failure,fallback_commits_to_failure,compiler_commits_to_failure,fallback_event_count,compiler_event_count,same_property,same_event_count,first_divergence,likely_root_cause,notes
sensor_threshold_bug,failing,1,NOT_RUN,PASS,3,3,NOT_RUN,128,NOT_RUN,31,NOT_RUN,9,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,failing,2,NOT_RUN,PASS,3,3,NOT_RUN,128,NOT_RUN,31,NOT_RUN,9,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,failing,3,NOT_RUN,PASS,3,3,NOT_RUN,128,NOT_RUN,31,NOT_RUN,9,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,fixed,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,fixed,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,fixed,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33327,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,no_failure_edge,1,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,no_failure_edge,2,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
sensor_threshold_bug,no_failure_edge,3,NOT_RUN,PASS,0,0,NOT_RUN,100000,NOT_RUN,33328,NOT_RUN,256,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
interrupt_race_bug,failing,1,NOT_RUN,PASS,2,2,NOT_RUN,61,NOT_RUN,15,NOT_RUN,5,PASS,NA,NA,NA,compiler-backed firmware row; fallback comparison not run in this invocation
