benchmark,variant,seed,rtl_record_status,capsule_export_status,replay_status,property_id_record,property_id_replay,commit_match,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,overflow,firmware_source,firmware_sha256,compiler_backed,notes
sensor_threshold_bug,failing,1,PASS,PASS,PASS,3,3,PASS,PASS,PASS,189,128,31,false,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=1 arch=v1 recorder_config=core property=3 events=9 cycles=128 commits=31 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,2,PASS,PASS,PASS,3,3,PASS,PASS,PASS,189,128,31,false,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=2 arch=v1 recorder_config=core property=3 events=9 cycles=128 commits=31 notes=""record/replay capsule packets match"""
sensor_threshold_bug,failing,3,PASS,PASS,PASS,3,3,PASS,PASS,PASS,189,128,31,false,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=failing seed=3 arch=v1 recorder_config=core property=3 events=9 cycles=128 commits=31 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33327,true,compiler_c,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=1 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33327 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33327,true,compiler_c,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=2 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33327 notes=""record/replay capsule packets match"""
sensor_threshold_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33327,true,compiler_c,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,true,"PASS replay benchmark=sensor_threshold_bug variant=fixed seed=3 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33327 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,true,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=1 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,true,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=2 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
sensor_threshold_bug,no_failure_edge,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33328,true,compiler_c,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,true,"PASS replay benchmark=sensor_threshold_bug variant=no_failure_edge seed=3 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33328 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,1,PASS,PASS,PASS,2,2,PASS,PASS,PASS,105,61,15,false,compiler_c,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=1 arch=v1 recorder_config=core property=2 events=5 cycles=61 commits=15 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,2,PASS,PASS,PASS,2,2,PASS,PASS,PASS,105,61,15,false,compiler_c,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=2 arch=v1 recorder_config=core property=2 events=5 cycles=61 commits=15 notes=""record/replay capsule packets match"""
interrupt_race_bug,failing,3,PASS,PASS,PASS,2,2,PASS,PASS,PASS,105,61,15,false,compiler_c,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,true,"PASS replay benchmark=interrupt_race_bug variant=failing seed=3 arch=v1 recorder_config=core property=2 events=5 cycles=61 commits=15 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,1,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33326,true,compiler_c,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=1 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33326 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,2,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33326,true,compiler_c,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=2 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33326 notes=""record/replay capsule packets match"""
interrupt_race_bug,fixed,3,PASS,PASS,PASS,0,0,PASS,PASS,PASS,5376,100000,33326,true,compiler_c,acc2d9c45d5403575a85a04d26e57a4cbba6de6b00fb79131ce419e6a9df12f9,true,"PASS replay benchmark=interrupt_race_bug variant=fixed seed=3 arch=v1 recorder_config=core property=0 events=256 cycles=100000 commits=33326 notes=""record/replay capsule packets match"""
mmio_ordering_bug,failing,1,PASS,PASS,PASS,5,5,PASS,PASS,PASS,84,59,15,false,compiler_c,a4ec640d98e1bac6c5b57d4f6073589d14d0ca5aedf8e8452042f79da5b64111,true,"PASS replay benchmark=mmio_ordering_bug variant=failing seed=1 arch=v1 recorder_config=core property=5 events=4 cycles=59 commits=15 notes=""record/replay capsule packets match"""
