target,flow,design,memory_words,buffer_depth,recorder_config,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,status,report_path,notes
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,512,8,core,2536,958,3,0,NA,NA,73.52,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem512_buf8_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,512,8,core,5432,2630,3,0,NA,NA,59.14,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem512_buf8_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,1024,16,core,2758,883,4,0,NA,NA,72.29,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,1024,16,core,6175,3901,4,0,NA,NA,59.00,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,16,core,2581,883,6,0,NA,NA,70.57,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,16,core,6153,3901,6,0,NA,NA,58.74,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,32,full,2581,883,6,0,NA,NA,70.57,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,32,full,8217,6591,6,0,NA,NA,59.94,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,4096,32,full,2562,883,10,0,NA,NA,67.01,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,4096,32,full,8230,6591,10,0,NA,NA,60.32,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,64,hashed,2581,883,6,0,NA,NA,70.57,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,real ECP5 85K place-and-route completed; baseline has no recorder parameter; baseline RTL independent of recorder buffer/config
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,64,hashed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf64_hashed_ecp5_85k_nextpnr.txt,P&R_FAIL: TIMEOUT after 240 seconds
