target,flow,memory_words,buffer_depth,recorder_config,metric,baseline,with_replaycapsule,delta,percent_overhead,claim_allowed,notes
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,512,8,core,lut,2536,5432,2896.00,114.20,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,512,8,core,ff,958,2630,1672.00,174.53,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,512,8,core,bram,3,3,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,512,8,core,fmax_mhz,73.52,59.14,-14.38,-19.56,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,lut,2758,6175,3417.00,123.89,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,ff,883,3901,3018.00,341.79,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,bram,4,4,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,1024,16,core,fmax_mhz,72.29,59.00,-13.29,-18.38,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,lut,2581,6153,3572.00,138.40,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,ff,883,3901,3018.00,341.79,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,bram,6,6,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,16,core,fmax_mhz,70.57,58.74,-11.83,-16.76,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,lut,2581,8217,5636.00,218.36,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,ff,883,6591,5708.00,646.43,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,bram,6,6,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,32,full,fmax_mhz,70.57,59.94,-10.63,-15.06,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,lut,2581,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,ff,883,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,bram,6,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,2048,64,hashed,fmax_mhz,70.57,NA,NA,NA,no,requires same-target PASS rows and recorder presence PASS
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,lut,2562,8230,5668.00,221.23,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,ff,883,6591,5708.00,646.43,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,bram,10,10,0.00,0.00,yes,same-target mapped overhead
ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,4096,32,full,fmax_mhz,67.01,60.32,-6.69,-9.98,yes,same-target mapped overhead
