architecture,recorder_config,target,flow,design,memory_words,buffer_depth,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,status,report_path,notes
v1,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,1024,16,3342,883,4,0,4551,NA,65.07,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,1024,16,7508,3901,4,0,12520,NA,51.53,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem1024_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,16,3359,883,6,0,4589,NA,68.06,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,16,7570,3901,6,0,12699,NA,50.72,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,32,3359,883,6,0,4589,NA,68.06,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,32,9491,6591,6,0,17246,NA,50.57,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf32_full_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,4096,32,3367,883,10,0,4591,NA,63.10,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,4096,32,9497,6591,10,0,17318,NA,52.04,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_replaycapsule_board_mem4096_buf32_full_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_baseline_board,2048,64,3359,883,6,0,4589,NA,68.06,NA,NA,NA,PASS,results/raw/mapped_scaling/full_core_baseline_board_mem2048_buf16_core_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v1,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_board,2048,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL,results/raw/mapped_scaling/full_core_replaycapsule_board_mem2048_buf64_hashed_ecp5_85k_nextpnr.txt,measured v1 mapped scaling row
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,core,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,hashed,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,1024,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,2048,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
v2,full,ecp5-85k,yosys+synth_ecp5+nextpnr-ecp5,full_core_replaycapsule_v2_board,4096,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BLOCKED,NA,full-core v2 mapped overhead blocked: v2 recorder is not integrated into the full-core board wrapper; do not compare standalone prototype against full-core v1
