check,benchmark,variant,expectation,status,evidence_level,property_observed,capsule_event_count,capsule_frozen,capsule_overflow,signature,packet_lines,raw_log,notes
tb_picorv32_sensor_threshold_smoke,sensor_threshold_bug,failing,property_failure,PASS,rtl-smoke,3,16,1,0,5e050080,16,results\raw\tb_picorv32_sensor_threshold_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_mmio_ordering_smoke,mmio_ordering_bug,failing,property_failure,PASS,rtl-smoke,5,2,1,0,0d0e001e,2,results\raw\tb_picorv32_mmio_ordering_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_interrupt_race_smoke,interrupt_race_bug,failing,property_failure,PASS,rtl-smoke,2,3,1,0,1a1e0096,3,results\raw\tb_picorv32_interrupt_race_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_stack_corruption_smoke,stack_corruption_bug,failing,property_failure,PASS,rtl-smoke,4,2,1,0,8901aefb,2,results\raw\tb_picorv32_stack_corruption_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_uart_command_smoke,uart_command_bug,failing,property_failure,PASS,rtl-smoke,1,4,1,0,ac7000fe,4,results\raw\tb_picorv32_uart_command_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_watchdog_timeout_smoke,watchdog_timeout_bug,failing,property_failure,PASS,rtl-smoke,6,12,1,0,feed0081,12,results\raw\tb_picorv32_watchdog_timeout_smoke_vvp_run.txt,failing image produced frozen nonzero-property capsule
tb_picorv32_sensor_threshold_fixed_smoke,sensor_threshold_bug,fixed,no_property_failure,PASS,rtl-smoke,0,4,0,0,00000000,4,results\raw\tb_picorv32_sensor_threshold_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_mmio_ordering_fixed_smoke,mmio_ordering_bug,fixed,no_property_failure,PASS,rtl-smoke,0,2,0,0,00000000,2,results\raw\tb_picorv32_mmio_ordering_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_interrupt_race_fixed_smoke,interrupt_race_bug,fixed,no_property_failure,PASS,rtl-smoke,0,57,0,0,00000000,58,results\raw\tb_picorv32_interrupt_race_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_stack_corruption_fixed_smoke,stack_corruption_bug,fixed,no_property_failure,PASS,rtl-smoke,0,1,0,0,00000000,1,results\raw\tb_picorv32_stack_corruption_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_uart_command_fixed_smoke,uart_command_bug,fixed,no_property_failure,PASS,rtl-smoke,0,3,0,0,00000000,3,results\raw\tb_picorv32_uart_command_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_watchdog_timeout_fixed_smoke,watchdog_timeout_bug,fixed,no_property_failure,PASS,rtl-smoke,0,8,0,0,00000000,8,results\raw\tb_picorv32_watchdog_timeout_fixed_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_sensor_threshold_below_threshold_smoke,sensor_threshold_bug,no_failure_edge,no_property_failure,PASS,rtl-smoke,0,1,0,0,00000000,1,results\raw\tb_picorv32_sensor_threshold_below_threshold_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_uart_command_no_command_smoke,uart_command_bug,no_failure_edge,no_property_failure,PASS,rtl-smoke,0,3,0,0,00000000,3,results\raw\tb_picorv32_uart_command_no_command_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
tb_picorv32_watchdog_timeout_below_threshold_smoke,watchdog_timeout_bug,no_failure_edge,no_property_failure,PASS,rtl-smoke,0,18,0,0,00000000,18,results\raw\tb_picorv32_watchdog_timeout_below_threshold_smoke_vvp_run.txt,no-failure image completed with property ID zero and recorded capsule events
