seed,family,benchmark,status,evidence_level,irq_after_command,irq_pulse_cycles,irq_start_cycle,irq_end_cycle,mmio_wait_cycles,expected_property,property_run1,property_run2,capsule_count_run1,capsule_count_run2,digest_run1,digest_run2,raw_log_run1,raw_log_run2,notes
1101,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,29,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1101_run1.txt,results\raw\randomized_interrupt_campaign\seed_1101_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
1103,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,30,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1103_run1.txt,results\raw\randomized_interrupt_campaign\seed_1103_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
1109,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,30,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1109_run1.txt,results\raw\randomized_interrupt_campaign\seed_1109_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
1117,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,32,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1117_run1.txt,results\raw\randomized_interrupt_campaign\seed_1117_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
1123,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,26,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1123_run1.txt,results\raw\randomized_interrupt_campaign\seed_1123_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
1129,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,1,46,NA,NA,0,2,2,2,3,3,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,5f70e10b606c83621874988537381492fdb59997b9e8579cbfa407c7fd2b8673,results\raw\randomized_interrupt_campaign\seed_1129_run1.txt,results\raw\randomized_interrupt_campaign\seed_1129_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2101,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,20,50,0,2,2,2,3,3,6b586870e275aca33983f0d16c1929e1075e0b724a1757814d54428630796ea0,6b586870e275aca33983f0d16c1929e1075e0b724a1757814d54428630796ea0,results\raw\randomized_interrupt_campaign\seed_2101_run1.txt,results\raw\randomized_interrupt_campaign\seed_2101_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2103,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,30,60,0,2,2,2,4,4,b27f82036ce53cf4e7a64c344788d04c7f7a2856df18da4061f2980ea6a5708f,b27f82036ce53cf4e7a64c344788d04c7f7a2856df18da4061f2980ea6a5708f,results\raw\randomized_interrupt_campaign\seed_2103_run1.txt,results\raw\randomized_interrupt_campaign\seed_2103_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2109,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,40,70,0,2,2,2,6,6,01dde302b08a050506ecce32e1c178f5cfbfcf4f3713e24cadcbc94d838ef019,01dde302b08a050506ecce32e1c178f5cfbfcf4f3713e24cadcbc94d838ef019,results\raw\randomized_interrupt_campaign\seed_2109_run1.txt,results\raw\randomized_interrupt_campaign\seed_2109_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2111,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,50,80,0,2,2,2,7,7,19ce6d69fbf0e1d159b7a2a55674d4db72eaa0b92a1872d182273b5a17051e29,19ce6d69fbf0e1d159b7a2a55674d4db72eaa0b92a1872d182273b5a17051e29,results\raw\randomized_interrupt_campaign\seed_2111_run1.txt,results\raw\randomized_interrupt_campaign\seed_2111_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2113,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,60,90,0,2,2,2,8,8,5fbe079f597b80ce1dded6f1904ca2fbeab2187d35405ecfa1123e65ffa90f6c,5fbe079f597b80ce1dded6f1904ca2fbeab2187d35405ecfa1123e65ffa90f6c,results\raw\randomized_interrupt_campaign\seed_2113_run1.txt,results\raw\randomized_interrupt_campaign\seed_2113_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
2129,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,0,24,70,100,0,2,2,2,9,9,83ec10eacb170f2350066b6c37456bdced12ece70ba0e0b834f8dd10a5813ec1,83ec10eacb170f2350066b6c37456bdced12ece70ba0e0b834f8dd10a5813ec1,results\raw\randomized_interrupt_campaign\seed_2129_run1.txt,results\raw\randomized_interrupt_campaign\seed_2129_run2.txt,same seeded interrupt schedule reproduced identical frozen RTL-smoke capsule digest across two simulator invocations
