seed,family,benchmark,status,evidence_level,raw_log,rtl_packet_count,replay_event_count,self_compare,missing_event_check,duplicate_event_check,metadata_corruption_check,payload_corruption_check,order_corruption_check,notes
1101,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1101_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
1103,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1103_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
1109,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1109_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
1117,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1117_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
1123,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1123_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
1129,irq_after_command,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_1129_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2101,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2101_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2103,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2103_run1.txt,4,7,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2109,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2109_run1.txt,6,11,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2111,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2111_run1.txt,7,13,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2113,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2113_run1.txt,8,15,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2129,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2129_run1.txt,9,17,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
2131,fixed_irq_window,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_2131_run1.txt,10,19,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
3101,mmio_wait_latency,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_3101_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
3109,mmio_wait_latency,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_3109_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
3119,mmio_wait_latency,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_3119_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
3121,mmio_wait_latency,interrupt_race_bug,PASS,rtl-smoke,results\raw\randomized_interrupt_campaign\seed_3121_run1.txt,3,5,PASS,PASS,PASS,PASS,PASS,PASS,"seeded RTL-smoke capsule self-compared and replay comparator rejected missing-event, duplicate-event, metadata, payload, and order corruptions"
