recorder_config,benchmark,variant,seed,workload_scale,cycles,commits,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,notes
minimal,sensor_threshold_bug,failing,1,smoke,118,29,0.006787,0.00,0.00,-5.16,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
core,sensor_threshold_bug,failing,1,smoke,118,29,0.006385,0.00,0.00,-10.77,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
hashed,sensor_threshold_bug,failing,1,smoke,118,29,0.006819,0.00,0.00,-4.71,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,1,smoke,118,29,0.007262,0.00,0.00,1.48,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
full,sensor_threshold_bug,failing,1,smoke,118,29,0.006516,0.00,0.00,-8.94,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
minimal,sensor_threshold_bug,failing,2,smoke,118,29,0.006612,0.00,0.00,14.47,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
core,sensor_threshold_bug,failing,2,smoke,118,29,0.006717,0.00,0.00,16.29,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
hashed,sensor_threshold_bug,failing,2,smoke,118,29,0.006490,0.00,0.00,12.36,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,2,smoke,118,29,0.006628,0.00,0.00,14.75,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
full,sensor_threshold_bug,failing,2,smoke,118,29,0.006525,0.00,0.00,12.97,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
minimal,sensor_threshold_bug,failing,3,smoke,118,29,0.006420,0.00,0.00,1.21,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
core,sensor_threshold_bug,failing,3,smoke,118,29,0.006316,0.00,0.00,-0.43,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
hashed,sensor_threshold_bug,failing,3,smoke,118,29,0.006454,0.00,0.00,1.75,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,3,smoke,118,29,0.006718,0.00,0.00,5.91,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
full,sensor_threshold_bug,failing,3,smoke,118,29,0.006308,0.00,0.00,-0.55,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
minimal,sensor_threshold_bug,failing,4,smoke,118,29,0.006473,0.00,0.00,3.47,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
core,sensor_threshold_bug,failing,4,smoke,118,29,0.006350,0.00,0.00,1.50,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
hashed,sensor_threshold_bug,failing,4,smoke,118,29,0.006604,0.00,0.00,5.56,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,4,smoke,118,29,0.006671,0.00,0.00,6.63,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
full,sensor_threshold_bug,failing,4,smoke,118,29,0.007040,0.00,0.00,12.53,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
minimal,sensor_threshold_bug,failing,5,smoke,118,29,0.006873,0.00,0.00,8.08,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
core,sensor_threshold_bug,failing,5,smoke,118,29,0.007126,0.00,0.00,12.06,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
hashed,sensor_threshold_bug,failing,5,smoke,118,29,0.007019,0.00,0.00,10.38,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,5,smoke,118,29,0.006450,0.00,0.00,1.43,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
full,sensor_threshold_bug,failing,5,smoke,118,29,0.006523,0.00,0.00,2.58,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=8 capsule_bytes=168 cycles=118 commits=29 notes=""measured"""
minimal,sensor_threshold_bug,failing,1,short,1597,352,0.008037,0.00,0.00,25.38,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
core,sensor_threshold_bug,failing,1,short,1597,352,0.008123,0.00,0.00,26.72,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
hashed,sensor_threshold_bug,failing,1,short,1597,352,0.008662,0.00,0.00,35.13,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,1,short,1597,352,0.008272,0.00,0.00,29.05,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
full,sensor_threshold_bug,failing,1,short,1597,352,0.008212,0.00,0.00,28.11,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
minimal,sensor_threshold_bug,failing,2,short,1597,352,0.007723,0.00,0.00,24.60,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
core,sensor_threshold_bug,failing,2,short,1597,352,0.007986,0.00,0.00,28.85,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
hashed,sensor_threshold_bug,failing,2,short,1597,352,0.007868,0.00,0.00,26.94,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,2,short,1597,352,0.008995,0.00,0.00,45.13,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
full,sensor_threshold_bug,failing,2,short,1597,352,0.008332,0.00,0.00,34.43,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=2 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
minimal,sensor_threshold_bug,failing,3,short,1597,352,0.007838,0.00,0.00,26.99,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
core,sensor_threshold_bug,failing,3,short,1597,352,0.007926,0.00,0.00,28.42,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
hashed,sensor_threshold_bug,failing,3,short,1597,352,0.007969,0.00,0.00,29.12,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,3,short,1597,352,0.008297,0.00,0.00,34.43,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
full,sensor_threshold_bug,failing,3,short,1597,352,0.008144,0.00,0.00,31.95,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=3 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
minimal,sensor_threshold_bug,failing,4,short,1597,352,0.007868,0.00,0.00,26.86,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
core,sensor_threshold_bug,failing,4,short,1597,352,0.009436,0.00,0.00,52.14,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
hashed,sensor_threshold_bug,failing,4,short,1597,352,0.008616,0.00,0.00,38.92,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,4,short,1597,352,0.008175,0.00,0.00,31.81,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
full,sensor_threshold_bug,failing,4,short,1597,352,0.008329,0.00,0.00,34.30,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=4 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
minimal,sensor_threshold_bug,failing,5,short,1597,352,0.007817,0.00,0.00,23.84,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
core,sensor_threshold_bug,failing,5,short,1597,352,0.008184,0.00,0.00,29.66,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
hashed,sensor_threshold_bug,failing,5,short,1597,352,0.008183,0.00,0.00,29.64,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,5,short,1597,352,0.008306,0.00,0.00,31.59,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
full,sensor_threshold_bug,failing,5,short,1597,352,0.008450,0.00,0.00,33.87,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=5 property=3 events=135 capsule_bytes=2835 cycles=1597 commits=352 notes=""measured"""
minimal,sensor_threshold_bug,failing,1,medium,6013,1312,0.011823,0.00,0.00,77.68,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
core,sensor_threshold_bug,failing,1,medium,6013,1312,0.012319,0.00,0.00,85.14,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
hashed,sensor_threshold_bug,failing,1,medium,6013,1312,0.013104,0.00,0.00,96.93,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
diagnostic,sensor_threshold_bug,failing,1,medium,6013,1312,0.012632,0.00,0.00,89.84,"PASS runtime config=recorder_enabled benchmark=sensor_threshold_bug variant=failing seed=1 property=3 events=256 capsule_bytes=5376 cycles=6013 commits=1312 notes=""measured"""
