benchmark,variant,status,evidence_level,rtl_packet_count,packet_bytes,replay_relevant_packet_count,pc_evidence_event_count,commit,branch,jump,store,load,mmio_read,mmio_write,interrupt_enter,interrupt_exit,external_input,property_fail,checkpoint_hash,raw_log,capsule_json,notes
sensor_threshold_bug,failing,PASS,rtl-smoke,16,336,15,16,0,14,0,0,0,1,0,0,0,0,1,0,results\raw\tb_picorv32_sensor_threshold_smoke_vvp_run.txt,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
interrupt_race_bug,failing,PASS,rtl-smoke,3,63,2,3,0,0,0,0,0,0,1,1,0,0,1,0,results\raw\tb_picorv32_interrupt_race_smoke_vvp_run.txt,results\raw\rtl_capsules\interrupt_race_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
mmio_ordering_bug,failing,PASS,rtl-smoke,2,42,1,2,0,0,0,0,0,0,1,0,0,0,1,0,results\raw\tb_picorv32_mmio_ordering_smoke_vvp_run.txt,results\raw\rtl_capsules\mmio_ordering_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
stack_corruption_bug,failing,PASS,rtl-smoke,2,42,1,2,0,0,0,1,0,0,0,0,0,0,1,0,results\raw\tb_picorv32_stack_corruption_smoke_vvp_run.txt,results\raw\rtl_capsules\stack_corruption_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
uart_command_bug,failing,PASS,rtl-smoke,4,84,3,4,0,1,0,0,0,1,1,0,0,0,1,0,results\raw\tb_picorv32_uart_command_smoke_vvp_run.txt,results\raw\rtl_capsules\uart_command_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
watchdog_timeout_bug,failing,PASS,rtl-smoke,12,252,11,12,0,10,0,0,0,1,0,0,0,0,1,0,results\raw\tb_picorv32_watchdog_timeout_smoke_vvp_run.txt,results\raw\rtl_capsules\watchdog_timeout_bug_failing.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
sensor_threshold_bug,fixed,PASS,rtl-smoke,4,84,4,4,0,1,0,0,0,1,2,0,0,0,0,0,results\raw\tb_picorv32_sensor_threshold_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\sensor_threshold_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
interrupt_race_bug,fixed,PASS,rtl-smoke,58,1218,58,58,0,53,0,0,0,0,3,1,1,0,0,0,results\raw\tb_picorv32_interrupt_race_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\interrupt_race_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
mmio_ordering_bug,fixed,PASS,rtl-smoke,2,42,2,2,0,0,0,0,0,0,2,0,0,0,0,0,results\raw\tb_picorv32_mmio_ordering_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\mmio_ordering_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
stack_corruption_bug,fixed,PASS,rtl-smoke,1,21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,results\raw\tb_picorv32_stack_corruption_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\stack_corruption_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
uart_command_bug,fixed,PASS,rtl-smoke,3,63,3,3,0,0,0,0,0,1,2,0,0,0,0,0,results\raw\tb_picorv32_uart_command_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\uart_command_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
watchdog_timeout_bug,fixed,PASS,rtl-smoke,8,168,8,8,0,3,0,0,0,1,4,0,0,0,0,0,results\raw\tb_picorv32_watchdog_timeout_fixed_smoke_vvp_run.txt,results\raw\rtl_capsules\watchdog_timeout_bug_fixed.json,decoded exported RTL-smoke packet classes; not a full benchmark-wide trace baseline
