ablation,benchmark,variant,status,replay_success,evidence_level,removed_event_count,capsule_json,reason
remove_pc_context,sensor_threshold_bug,failing,MEASURED,False,rtl-smoke,16,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,missing pc event at commit 1: pc=0x88 order=0x0; missing pc event at commit 3: pc=0x94 order=0x1; missing pc event at commit 6: pc=0x98 order=0x2; missing pc event at commit 8: pc=0x98 order=0x3; missing pc event at commit 10: pc=0x98 order=0x4; missing pc event at commit 12: pc=0x98 order=0x5; missing pc event at commit 14: pc=0x98 order=0x6; missing pc event at commit 16: pc=0x98 order=0x7; missing pc event at commit 18: pc=0x98 order=0x8; missing pc event at commit 20: pc=0x98 order=0x9; missing pc event at commit 22: pc=0x98 order=0xa; missing pc event at commit 24: pc=0x98 order=0xb; missing pc event at commit 26: pc=0x98 order=0xc; missing pc event at commit 28: pc=0x98 order=0xd; missing pc event at commit 30: pc=0x98 order=0xe; missing pc event at commit 31: pc=0x9c order=0xf
remove_branch_events,sensor_threshold_bug,failing,MEASURED,False,rtl-smoke,14,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,missing branch event at commit 3: pc=0x94 value=0x0 order=0x1; missing branch event at commit 6: pc=0x98 value=0x0 order=0x2; missing branch event at commit 8: pc=0x98 value=0x0 order=0x3; missing branch event at commit 10: pc=0x98 value=0x0 order=0x4; missing branch event at commit 12: pc=0x98 value=0x0 order=0x5; missing branch event at commit 14: pc=0x98 value=0x0 order=0x6; missing branch event at commit 16: pc=0x98 value=0x0 order=0x7; missing branch event at commit 18: pc=0x98 value=0x0 order=0x8; missing branch event at commit 20: pc=0x98 value=0x0 order=0x9; missing branch event at commit 22: pc=0x98 value=0x0 order=0xa; missing branch event at commit 24: pc=0x98 value=0x0 order=0xb; missing branch event at commit 26: pc=0x98 value=0x0 order=0xc; missing branch event at commit 28: pc=0x98 value=0x0 order=0xd; missing branch event at commit 30: pc=0x98 value=0x0 order=0xe
remove_store_events,sensor_threshold_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,event class absent from this RTL-smoke capsule
remove_mmio_read_values,sensor_threshold_bug,failing,MEASURED,False,rtl-smoke,1,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,missing mmio event at commit 1: addr=0x40000000 value=0x352 direction='read' order=0x0
remove_mmio_write_observations,sensor_threshold_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,event class absent from this RTL-smoke capsule
remove_interrupt_timing,sensor_threshold_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,event class absent from this RTL-smoke capsule
remove_external_input_values,sensor_threshold_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,event class absent from this RTL-smoke capsule
remove_checkpoint_hashes,sensor_threshold_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\sensor_threshold_bug_failing.json,event class absent from this RTL-smoke capsule
remove_pc_context,interrupt_race_bug,failing,MEASURED,False,rtl-smoke,3,results\raw\rtl_capsules\interrupt_race_bug_failing.json,missing pc event at commit 3: pc=0x90 order=0x0; missing pc event at commit 4: pc=0x90 order=0x1; missing pc event at commit 4: pc=0x90 order=0x2
remove_branch_events,interrupt_race_bug,failing,MEASURED,True,rtl-smoke,0,results\raw\rtl_capsules\interrupt_race_bug_failing.json,event class absent from this RTL-smoke capsule
