benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
sensor_threshold_bug,failing,1,baseline_no_recorder,compiler_c,true,NA,118,NA,29,0,0,0.006097,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,1,recorder_present_disabled,compiler_c,true,NA,118,NA,29,0,0,0.006094,0.00,0.00,-0.05,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,1,recorder_enabled,compiler_c,true,NA,118,NA,29,8,168,0.006031,0.00,0.00,-1.08,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,2,baseline_no_recorder,compiler_c,true,NA,118,NA,29,0,0,0.005839,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,2,recorder_present_disabled,compiler_c,true,NA,118,NA,29,0,0,0.006193,0.00,0.00,6.06,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,2,recorder_enabled,compiler_c,true,NA,118,NA,29,8,168,0.006187,0.00,0.00,5.96,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,3,baseline_no_recorder,compiler_c,true,NA,118,NA,29,0,0,0.005926,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,3,recorder_present_disabled,compiler_c,true,NA,118,NA,29,0,0,0.006597,0.00,0.00,11.32,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,failing,3,recorder_enabled,compiler_c,true,NA,118,NA,29,8,168,0.008441,0.00,0.00,42.44,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
sensor_threshold_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33327,NA,0,0,0.014897,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
