workload_scale,config,median_cycle_overhead_pct,mean_cycle_overhead_pct,median_commit_overhead_pct,mean_commit_overhead_pct,median_sim_wall_time_overhead_pct,mean_sim_wall_time_overhead_pct,median_events,median_capsule_bytes,iqr_sim_wall_time_overhead_pct,n,notes
long,baseline_no_recorder,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
long,recorder_enabled,0.000000,0.000000,0.000000,0.000000,526.420000,442.610000,256.000000,5376.000000,331.690000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
long,recorder_present_disabled,0.000000,0.000000,0.000000,0.000000,526.200000,422.778800,0.000000,0.000000,322.020000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
medium,baseline_no_recorder,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
medium,recorder_enabled,0.000000,0.000000,0.000000,0.000000,394.380000,277.025600,256.000000,5376.000000,326.960000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
medium,recorder_present_disabled,0.000000,0.000000,0.000000,0.000000,381.290000,268.814800,0.000000,0.000000,318.620000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
short,baseline_no_recorder,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
short,recorder_enabled,0.000000,0.000000,0.000000,0.000000,113.390000,85.947867,256.000000,5376.000000,106.230000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
short,recorder_present_disabled,0.000000,0.000000,0.000000,0.000000,112.040000,80.107067,0.000000,0.000000,100.600000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
smoke,baseline_no_recorder,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
smoke,recorder_enabled,0.000000,0.000000,0.000000,0.000000,49.340000,37.078667,256.000000,5376.000000,64.200000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
smoke,recorder_present_disabled,0.000000,0.000000,0.000000,0.000000,54.310000,37.267067,0.000000,0.000000,62.480000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
stress,baseline_no_recorder,NA,NA,NA,NA,NA,NA,0.000000,0.000000,NA,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
stress,recorder_enabled,0.000000,0.000000,0.000000,0.000000,721.900000,672.981600,256.000000,5376.000000,191.060000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
stress,recorder_present_disabled,0.000000,0.000000,0.000000,0.000000,705.510000,655.974800,0.000000,0.000000,182.960000,75,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
