benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
sensor_threshold_bug,failing,1,smoke,baseline_no_recorder,compiler_c_scaled,true,118,29,0,0,0.681637,NA,NA,NA,NA,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,smoke,v2_recorder_present_disabled,compiler_c_scaled,true,118,29,0,0,0.610196,0.00,0.00,-10.48,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,smoke,v2_recorder_enabled_core,compiler_c_scaled,true,118,29,1,8,0.012790,0.00,0.00,-98.12,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,smoke,v2_recorder_enabled_hashed,compiler_c_scaled,true,118,29,1,8,0.011427,0.00,0.00,-98.32,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,smoke,v2_recorder_enabled_full,compiler_c_scaled,true,118,29,40,320,0.012117,0.00,0.00,-98.22,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,short,baseline_no_recorder,compiler_c_scaled,true,1594,351,0,0,0.011776,NA,NA,NA,NA,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,short,v2_recorder_present_disabled,compiler_c_scaled,true,1594,351,0,0,0.150166,0.00,0.00,1175.19,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,short,v2_recorder_enabled_core,compiler_c_scaled,true,1594,351,1,8,0.011735,0.00,0.00,-0.35,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,short,v2_recorder_enabled_hashed,compiler_c_scaled,true,1594,351,1,8,0.012311,0.00,0.00,4.54,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,short,v2_recorder_enabled_full,compiler_c_scaled,true,1594,351,241,1928,0.012304,0.00,0.00,4.48,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,medium,baseline_no_recorder,compiler_c_scaled,true,6010,1311,0,0,0.011968,NA,NA,NA,NA,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,medium,v2_recorder_present_disabled,compiler_c_scaled,true,6010,1311,0,0,0.013292,0.00,0.00,11.06,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,medium,v2_recorder_enabled_core,compiler_c_scaled,true,6010,1311,1,8,0.013144,0.00,0.00,9.83,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,medium,v2_recorder_enabled_hashed,compiler_c_scaled,true,6010,1311,1,8,0.012858,0.00,0.00,7.44,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,medium,v2_recorder_enabled_full,compiler_c_scaled,true,6010,1311,241,1928,0.013846,0.00,0.00,15.69,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,long,baseline_no_recorder,compiler_c_scaled,true,23674,5151,0,0,0.018564,NA,NA,NA,NA,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,long,v2_recorder_present_disabled,compiler_c_scaled,true,23674,5151,0,0,0.023183,0.00,0.00,24.88,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,long,v2_recorder_enabled_core,compiler_c_scaled,true,23674,5151,1,8,0.022182,0.00,0.00,19.49,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,long,v2_recorder_enabled_hashed,compiler_c_scaled,true,23674,5151,1,8,0.021951,0.00,0.00,18.24,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,long,v2_recorder_enabled_full,compiler_c_scaled,true,23674,5151,241,1928,0.024868,0.00,0.00,33.96,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,stress,baseline_no_recorder,compiler_c_scaled,true,94330,20511,0,0,0.030251,NA,NA,NA,NA,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,stress,v2_recorder_present_disabled,compiler_c_scaled,true,94330,20511,0,0,0.042183,0.00,0.00,39.44,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,stress,v2_recorder_enabled_core,compiler_c_scaled,true,94330,20511,1,8,0.044344,0.00,0.00,46.59,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,stress,v2_recorder_enabled_hashed,compiler_c_scaled,true,94330,20511,1,8,0.043041,0.00,0.00,42.28,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
sensor_threshold_bug,failing,1,stress,v2_recorder_enabled_full,compiler_c_scaled,true,94330,20511,241,1928,0.044267,0.00,0.00,46.33,baseline_no_recorder,MEASURED,measured representative compiler-backed scaled workload
