benchmark,variant,workload_scale,delay_iters,max_cycles,hex_path,elf_path,build_status,firmware_source,compiler,sha256_hex,notes
sensor_threshold_bug,failing,smoke,0,5000,firmware/build_scaled/smoke/sensor_threshold_bug/failing.hex,firmware/build_scaled/smoke/sensor_threshold_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,compiler-backed scaled firmware; default firmware-length smoke stimulus
sensor_threshold_bug,failing,short,64,10000,firmware/build_scaled/short/sensor_threshold_bug/failing.hex,firmware/build_scaled/short/sensor_threshold_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,dd61e6f89bc1be0953532872f7182c2b75df0885a5eecb771ba3babae3ffc756,compiler-backed scaled firmware; small deterministic pre-trigger delay
sensor_threshold_bug,failing,medium,256,50000,firmware/build_scaled/medium/sensor_threshold_bug/failing.hex,firmware/build_scaled/medium/sensor_threshold_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,8070f8c70c83f9d51208633da328777faac61d15fc95bc90dcb828afce3f942d,compiler-backed scaled firmware; medium deterministic pre-trigger delay
sensor_threshold_bug,failing,long,1024,100000,firmware/build_scaled/long/sensor_threshold_bug/failing.hex,firmware/build_scaled/long/sensor_threshold_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,804c30378133f045f7f5a2386635f444d39d37b9e229dd6743b0a76e52ea1c60,compiler-backed scaled firmware; long deterministic pre-trigger delay
sensor_threshold_bug,failing,stress,4096,200000,firmware/build_scaled/stress/sensor_threshold_bug/failing.hex,firmware/build_scaled/stress/sensor_threshold_bug/failing.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,ae03630b92bfe060b3debd5a61df085cfba1f356985b00d34983e68b94d1d70f,compiler-backed scaled firmware; stress deterministic pre-trigger delay
sensor_threshold_bug,fixed,smoke,0,5000,firmware/build_scaled/smoke/sensor_threshold_bug/fixed.hex,firmware/build_scaled/smoke/sensor_threshold_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,a66635baf68c4d93fa88534e991fcee2dcbc482efce8eae57b6736f5ea2f7ebc,compiler-backed scaled firmware; default firmware-length smoke stimulus
sensor_threshold_bug,fixed,short,64,10000,firmware/build_scaled/short/sensor_threshold_bug/fixed.hex,firmware/build_scaled/short/sensor_threshold_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,22cd851a51a6fdb1bd3938b8cb2f4f84d24923cc4b91b183f211daa35304e941,compiler-backed scaled firmware; small deterministic pre-trigger delay
sensor_threshold_bug,fixed,medium,256,50000,firmware/build_scaled/medium/sensor_threshold_bug/fixed.hex,firmware/build_scaled/medium/sensor_threshold_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,f3b03fe04cd298981546c82a244a80d77d1254fcfbb6286e16717d1687c2d52b,compiler-backed scaled firmware; medium deterministic pre-trigger delay
sensor_threshold_bug,fixed,long,1024,100000,firmware/build_scaled/long/sensor_threshold_bug/fixed.hex,firmware/build_scaled/long/sensor_threshold_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,210dea7a6289fe7bb37a43e72f6d8ab9fe1c4b1a7883e3490a1ec473e565c6d7,compiler-backed scaled firmware; long deterministic pre-trigger delay
sensor_threshold_bug,fixed,stress,4096,200000,firmware/build_scaled/stress/sensor_threshold_bug/fixed.hex,firmware/build_scaled/stress/sensor_threshold_bug/fixed.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,f72675ce6a51507a551ca491e5a65b79658d06754ef519d1fe613e05ee628ff4,compiler-backed scaled firmware; stress deterministic pre-trigger delay
sensor_threshold_bug,no_failure_edge,smoke,0,5000,firmware/build_scaled/smoke/sensor_threshold_bug/no_failure_edge.hex,firmware/build_scaled/smoke/sensor_threshold_bug/no_failure_edge.elf,PASS,compiler_c_scaled,riscv64-unknown-elf-gcc,6ac8d3877edca394336241ec139ee553573d0b3100dc0a2867fadf8b80939bb7,compiler-backed scaled firmware; default firmware-length smoke stimulus
