benchmark,workload_size,seed,cycles,commits,events,capsule_bytes,instruction_trace_bytes,snapshot_bytes,overflow,buffer_depth,event_rate_per_kinst,notes
long_polling_rare_mmio_trigger,128,17,401,128,3,63,1024,132,False,64,23.438,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
long_polling_rare_mmio_trigger,1024,17,3089,1024,5,105,8192,132,False,64,4.883,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
long_polling_rare_mmio_trigger,8192,17,24593,8192,19,399,65536,132,False,64,2.319,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
interrupt_storm_mask_windows,128,29,413,128,6,126,1024,132,False,64,46.875,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
interrupt_storm_mask_windows,1024,29,3101,1024,20,420,8192,132,False,64,19.531,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
interrupt_storm_mask_windows,8192,29,24605,8192,132,2772,65536,132,True,64,16.113,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
uart_command_stream_delayed_unsafe,128,41,425,128,6,126,1024,132,False,64,46.875,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
uart_command_stream_delayed_unsafe,1024,41,3113,1024,13,273,8192,132,False,64,12.695,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
uart_command_stream_delayed_unsafe,8192,41,24617,8192,69,1449,65536,132,True,64,8.423,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
watchdog_heartbeat_long,128,53,437,128,4,84,1024,132,False,64,31.250,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
watchdog_heartbeat_long,1024,53,3125,1024,8,168,8192,132,False,64,7.812,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
watchdog_heartbeat_long,8192,53,24629,8192,36,756,65536,132,False,64,4.395,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
stack_corruption_after_stores,128,67,451,128,4,84,1024,132,False,64,31.250,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
stack_corruption_after_stores,1024,67,3139,1024,13,273,8192,132,False,64,12.695,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
stack_corruption_after_stores,8192,67,24643,8192,88,1848,65536,132,True,64,10.742,synthetic model-scaling workload generated by script; not firmware-running RTL evidence
