architecture,recorder_config,benchmark,variant,seed,firmware_source,compiler_backed,firmware_sha256,self_replay_status,capsule_export_status,property_id,event_match,final_signature_match,capsule_bytes,cycles_to_failure,commits_to_failure,overflow,replay_consumer_status,replay_consumer_checked,replay_consumer_consumed,replay_consumer_expected,replay_consumer_error_code,replay_stimulus_source,stream_event_count,stream_event_sent_count,replay_critical_event_count,stream_stall_count,dropped_diagnostic_count,replay_critical_overflow_count,notes
v2,core,sensor_threshold_bug,failing,1,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,3,PASS,PASS,8,127,31,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,sensor_threshold_bug,failing,2,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,3,PASS,PASS,8,127,31,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,sensor_threshold_bug,failing,3,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,3,PASS,PASS,8,127,31,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,sensor_threshold_bug,fixed,1,compiler_c,true,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,PASS,PASS,0,PASS,PASS,24,100000,33327,false,PASS,true,3,3,0,rtl_replay_mode_controller_capture_store_mmio_irq,3,3,3,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 3/3 and replay consumer consumed 3/3 without harness preload
v2,core,sensor_threshold_bug,fixed,2,compiler_c,true,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,PASS,PASS,0,PASS,PASS,24,100000,33327,false,PASS,true,3,3,0,rtl_replay_mode_controller_capture_store_mmio_irq,3,3,3,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 3/3 and replay consumer consumed 3/3 without harness preload
v2,core,sensor_threshold_bug,fixed,3,compiler_c,true,030521a21efd0a34b9054cc9c189a34aad5fda58abe9d122ca9d0c7590b5f8b8,PASS,PASS,0,PASS,PASS,24,100000,33327,false,PASS,true,3,3,0,rtl_replay_mode_controller_capture_store_mmio_irq,3,3,3,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 3/3 and replay consumer consumed 3/3 without harness preload
v2,core,sensor_threshold_bug,no_failure_edge,1,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,0,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,sensor_threshold_bug,no_failure_edge,2,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,0,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,sensor_threshold_bug,no_failure_edge,3,compiler_c,true,4b1fe5a61c08b99a6e9ae73c6e6c92a53e4bfeb716c0d5c9dacbb1f4b86c9b4a,PASS,PASS,0,PASS,PASS,8,100000,33328,false,PASS,true,1,1,0,rtl_replay_mode_controller_capture_store_mmio_irq,1,1,1,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 1/1 and replay consumer consumed 1/1 without harness preload
v2,core,interrupt_race_bug,failing,1,compiler_c,true,eb831e5251bbb085a4a48b9cd5410a94ff3aec29ac284b044ad14ff84512d592,PASS,PASS,2,PASS,PASS,24,60,15,false,PASS,true,3,3,0,rtl_replay_mode_controller_capture_store_mmio_irq,3,3,3,0,0,0,record/replay replay-critical events match; rtl replay mode controller launched captured-store replay and streamed 3/3 and replay consumer consumed 3/3 without harness preload
