benchmark,variant,firmware_image,stimulus_family,recorder_config,recorder_config_select,expected_property,sensor_value,command_value,watchdog_enable,irq_after_command,status,shell,property_id,captured_count,source_sent_count,consumed_count,controller_done,record_irq_entry_count,replay_irq_entry_count,signature,raw_log,notes
sensor_threshold_bug,failing,firmware/build/sensor_threshold_bug/failing.mem,base_model_mem,core,0,3,850,0,0,0,PASS,rtl_self_replay_soc,3,2,2,2,1,0,0,5e050080,results/raw/standalone_self_replay_smokes/sensor_threshold_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
sensor_threshold_bug,failing,firmware/build/sensor_threshold_bug/failing.mem,base_model_mem,hashed,1,3,850,0,0,0,PASS,rtl_self_replay_soc,3,2,2,2,1,0,0,5e050080,results/raw/standalone_self_replay_smokes/sensor_threshold_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
sensor_threshold_bug,failing,firmware/build/sensor_threshold_bug/failing.mem,base_model_mem,full,2,3,850,0,0,0,PASS,rtl_self_replay_soc,3,2,2,2,1,0,0,5e050080,results/raw/standalone_self_replay_smokes/sensor_threshold_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
interrupt_race_bug,failing,firmware/build/interrupt_race_bug/failing.mem,base_model_mem,core,0,2,850,0,0,1,PASS,rtl_self_replay_soc,2,3,3,3,1,1,1,1a1e0093,results/raw/standalone_self_replay_smokes/interrupt_race_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count; nonzero matching record/replay PicoRV32 interrupt-handler entry counts were observed"
interrupt_race_bug,failing,firmware/build/interrupt_race_bug/failing.mem,base_model_mem,hashed,1,2,850,0,0,1,PASS,rtl_self_replay_soc,2,3,3,3,1,1,1,1a1e0093,results/raw/standalone_self_replay_smokes/interrupt_race_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count; nonzero matching record/replay PicoRV32 interrupt-handler entry counts were observed"
interrupt_race_bug,failing,firmware/build/interrupt_race_bug/failing.mem,base_model_mem,full,2,2,850,0,0,1,PASS,rtl_self_replay_soc,2,3,3,3,1,1,1,1a1e0093,results/raw/standalone_self_replay_smokes/interrupt_race_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count; nonzero matching record/replay PicoRV32 interrupt-handler entry counts were observed"
mmio_ordering_bug,failing,firmware/build/mmio_ordering_bug/failing.mem,base_model_mem,core,0,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/mmio_ordering_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
mmio_ordering_bug,failing,firmware/build/mmio_ordering_bug/failing.mem,base_model_mem,hashed,1,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/mmio_ordering_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
mmio_ordering_bug,failing,firmware/build/mmio_ordering_bug/failing.mem,base_model_mem,full,2,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/mmio_ordering_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
stack_corruption_bug,failing,firmware/build/stack_corruption_bug/failing.mem,base_model_mem,core,0,4,850,0,0,0,PASS,rtl_self_replay_soc,4,1,1,1,1,0,0,8901aefb,results/raw/standalone_self_replay_smokes/stack_corruption_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
stack_corruption_bug,failing,firmware/build/stack_corruption_bug/failing.mem,base_model_mem,hashed,1,4,850,0,0,0,PASS,rtl_self_replay_soc,4,1,1,1,1,0,0,8901aefb,results/raw/standalone_self_replay_smokes/stack_corruption_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
stack_corruption_bug,failing,firmware/build/stack_corruption_bug/failing.mem,base_model_mem,full,2,4,850,0,0,0,PASS,rtl_self_replay_soc,4,1,1,1,1,0,0,8901aefb,results/raw/standalone_self_replay_smokes/stack_corruption_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
uart_command_bug,failing,firmware/build/uart_command_bug/failing.mem,base_model_mem,core,0,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000fe,results/raw/standalone_self_replay_smokes/uart_command_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
