name,status,detail
rtl_required_files,PASS,16 files present
event_type_definitions,PASS,12 event names present
firmware_benchmark_pairs,PASS,6 failing/fixed pairs present
directed_sv_testbenches,PASS,2 source-present testbenches
syntax:scripts/replaycapsule_model.py,PASS,
syntax:scripts/static_rtl_checks.py,PASS,
syntax:tb/replay_testbench/capsule_parser.py,PASS,
syntax:tb/replay_testbench/replay_compare.py,PASS,
syntax:tb/replay_testbench/replay_driver.py,PASS,
static_rtl_contract_checks,PASS,"Summary: 43 passed, 0 failed"
replay_driver_demo_commit,PASS,matched checkpoint: 0
phase12_smoke_model,PASS,WROTE results\raw\model_suite_traces.json
replay_experiments,PASS,WROTE C:\Users\tyboy\OneDrive\Documents\New project\results\processed\replay_experiments.csv
trace_size_collection,PASS,WROTE C:\Users\tyboy\OneDrive\Documents\New project\results\processed\trace_sizes.csv
ablation_smoke,PASS,WROTE C:\Users\tyboy\OneDrive\Documents\New project\results\processed\event_sufficiency.csv
yosys_synthesis_probe,PASS,TODO yosys not found; wrote 2 report(s) under C:\Users\tyboy\OneDrive\Documents\New project\results\raw
synthesis_report_parse,PASS,WROTE C:\Users\tyboy\OneDrive\Documents\New project\results\processed\synthesis.csv
figure_generation,PASS,WROTE 6 SVG figures to C:\Users\tyboy\OneDrive\Documents\New project\results\figures and C:\Users\tyboy\OneDrive\Documents\New project\paper\figures
tool:verilator,TODO,external tool not found locally
tool:yosys,TODO,external tool not found locally
tool:riscv64-unknown-elf-gcc,TODO,external tool not found locally
