tool,required_for,available,version,required,source,notes
python,"reproduce,full-rtl-replay,paper",yes,Python 3.12.3,yes,current-python,Python driver scripts; current interpreter
make,full-rtl-replay,yes,<3>WSL (5278 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,no,workspace-local,top-level orchestration and Verilator build; workspace-local .tools/winlibs/mingw64/bin/make.exe
g++,full-rtl-replay,yes,<3>WSL (5279 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,no,workspace-local,C++ compiler for Verilator harness; workspace-local .tools/winlibs/mingw64/bin/g++.exe
verilator,full-rtl-replay,yes,<3>WSL (5280 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,no,workspace-local,RTL harness build; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/verilator_bin.exe
riscv64-unknown-elf-gcc,"firmware,full-rtl-replay",yes,<3>WSL (5281 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,preferred embedded RISC-V compiler; accepted aliases are bare-metal RV32-capable toolchains; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-gcc.exe
riscv64-unknown-elf-objcopy,firmware,yes,<3>WSL (5282 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,ELF to HEX conversion; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-objcopy.exe
riscv64-unknown-elf-size,firmware,yes,<3>WSL (5283 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,compiler-backed firmware size accounting; workspace-local .tools/toolchains/riscv-none-elf-gcc/xpack-riscv-none-elf-gcc-15.2.0-1/bin/riscv-none-elf-size.exe
iverilog,rtl-smoke,yes,<3>WSL (5284 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,directed Icarus simulations; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/iverilog.exe
vvp,rtl-smoke,yes,<3>WSL (5285 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,Icarus simulation runtime; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/vvp.exe
yosys,"mapped-synthesis,formal",yes,<3>WSL (5286 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,yes,workspace-local,synthesis/formal frontend; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/yosys.exe
nextpnr-ice40,mapped-synthesis,yes,<3>WSL (5287 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,no,workspace-local,optional iCE40 mapped FPGA flow; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/nextpnr-ice40.exe
nextpnr-ecp5,mapped-synthesis,yes,<3>WSL (5288 - ) ERROR: UtilBindVsockAnyPort:309: socket failed 1,no,workspace-local,optional ECP5 mapped FPGA flow; workspace-local .tools/oss-cad-suite/oss-cad-suite/bin/nextpnr-ecp5.exe
openroad,"mapped-synthesis,asic-openpdk",no,NA,no,missing,optional ASIC/open-PDK flow; tool not found
pdk-root,asic-openpdk,no,NA,no,missing,PDK_ROOT for optional ASIC/open-PDK flow; PDK_ROOT is not set
latexmk,paper,yes,"Latexmk, John Collins, 31 Jan. 2024. Version 4.83",no,path,LaTeX build wrapper; latexmk
pdflatex,paper,yes,pdfTeX 3.141592653-2.6-1.40.25 (TeX Live 2023/Debian),no,path,PDF LaTeX engine; pdflatex
lualatex,paper,yes,"This is LuaHBTeX, Version 1.17.0 (TeX Live 2023/Debian)",no,path,fallback PDF LaTeX engine; lualatex
firmware-hex-fallback,full-rtl-replay,yes,generated-hex,no,generated-fallback,existing generated HEX/MEM images can feed RTL when compiler is unavailable; fallback is not a compiler pass
