group,metric,value,n,evidence,notes
replay_correctness,pass_rate_by_benchmark:interrupt_race_bug,50.000000,50,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_benchmark:mmio_ordering_bug,50.000000,50,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_benchmark:sensor_threshold_bug,33.333333,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_benchmark:stack_corruption_bug,50.000000,50,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_benchmark:uart_command_bug,33.333333,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_benchmark:watchdog_timeout_bug,33.333333,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_workload_scale:long,40.000000,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_workload_scale:medium,40.000000,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_workload_scale:short,40.000000,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_workload_scale:smoke,40.000000,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
replay_correctness,pass_rate_by_workload_scale:stress,40.000000,75,results/processed/workload_scaling.csv,PASS means record/replay/final signature/event match
negative_replay,rejected,10,12,results/processed/full_rtl_replay_negative.csv,corrupted capsule rejection count
negative_replay,unexpected_accepted,0,12,results/processed/full_rtl_replay_negative.csv,unexpected accepts remain visible
negative_replay,na,2,12,results/processed/full_rtl_replay_negative.csv,not-applicable negative rows
runtime_scaling,median_cycle_overhead_pct:long,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_commit_overhead_pct:long,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_sim_wall_time_overhead_pct:long,526.420000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_cycle_overhead_pct:medium,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_commit_overhead_pct:medium,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_sim_wall_time_overhead_pct:medium,394.380000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_cycle_overhead_pct:short,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_commit_overhead_pct:short,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_sim_wall_time_overhead_pct:short,113.390000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_cycle_overhead_pct:smoke,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_commit_overhead_pct:smoke,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_sim_wall_time_overhead_pct:smoke,49.340000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_cycle_overhead_pct:stress,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_commit_overhead_pct:stress,0.000000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
runtime_scaling,median_sim_wall_time_overhead_pct:stress,721.900000,75,results/processed/runtime_scaling_summary.csv,simulator wall time is not hardware runtime; cycle/commit overhead is architectural harness observation
capsule_scaling,median_bytes:long,86016.000000,75,results/processed/capsule_baseline_summary.csv,measured capsule bytes
capsule_scaling,median_reduction_vs_full_instruction:long,64.860000,75,results/processed/capsule_baseline_summary.csv,full instruction trace is formula-estimated
capsule_scaling,median_bytes:medium,21504.000000,75,results/processed/capsule_baseline_summary.csv,measured capsule bytes
