benchmark,variant,baseline,status,event_count,bytes,events_per_kinst,replay_success,evidence_level,notes
sensor_threshold_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
sensor_threshold_bug,failing,full_commit_trace,MEASURED,19,304,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,store_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,mmio_only_trace,MEASURED,1,16,52.632,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,interrupt_mmio_trace,MEASURED,3,48,157.895,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
sensor_threshold_bug,failing,property_aware_replaycapsule_rv,MEASURED,4,84,210.526,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
interrupt_race_bug,failing,full_commit_trace,MEASURED,3,48,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,store_only_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,mmio_only_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,interrupt_mmio_trace,MEASURED,4,64,1333.333,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
