architecture,recorder_config,benchmark,variant,seed,workload_scale,buffer_depth,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,stream_event_count,stream_event_sent_count,replay_critical_event_count,stream_stall_count,dropped_diagnostic_count,replay_critical_overflow_count,strict_replay_valid,capsule_path,notes
v1,core,sensor_threshold_bug,failing,1,smoke,256,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed1_smoke.json,record/replay complete
v1,core,sensor_threshold_bug,failing,2,smoke,256,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed2_smoke.json,record/replay complete
v1,core,sensor_threshold_bug,failing,3,smoke,256,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed3_smoke.json,record/replay complete
v1,core,sensor_threshold_bug,failing,4,smoke,256,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed4_smoke.json,record/replay complete
v1,core,sensor_threshold_bug,failing,5,smoke,256,compiler_c_scaled,true,128,31,9,189,290.322581,128,31,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed5_smoke.json,record/replay complete
v1,core,sensor_threshold_bug,failing,1,short,256,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed1_short.json,record/replay complete
v1,core,sensor_threshold_bug,failing,2,short,256,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed2_short.json,record/replay complete
v1,core,sensor_threshold_bug,failing,3,short,256,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed3_short.json,record/replay complete
v1,core,sensor_threshold_bug,failing,4,short,256,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed4_short.json,record/replay complete
v1,core,sensor_threshold_bug,failing,5,short,256,compiler_c_scaled,true,1607,354,136,2856,384.180791,1607,354,3,PASS,PASS,PASS,false,0,0,0,0,0,0,true,results/raw/workload_scaling/capsules/sensor_threshold_bug_failing_seed5_short.json,record/replay complete
v1,core,sensor_threshold_bug,fixed,1,smoke,256,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,OVERFLOW,PASS,PASS,true,0,0,0,0,0,0,false,results/raw/workload_scaling/capsules/sensor_threshold_bug_fixed_seed1_smoke.json,capsule overflow invalidates strict replay availability
v1,core,sensor_threshold_bug,fixed,2,smoke,256,compiler_c_scaled,true,5000,1660,256,5376,154.216867,NA,NA,0,OVERFLOW,PASS,PASS,true,0,0,0,0,0,0,false,results/raw/workload_scaling/capsules/sensor_threshold_bug_fixed_seed2_smoke.json,capsule overflow invalidates strict replay availability
