architecture,recorder_config,benchmark,variant,seed,workload_scale,buffer_depth,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,stream_event_count,stream_event_sent_count,replay_critical_event_count,stream_stall_count,dropped_diagnostic_count,replay_critical_overflow_count,strict_replay_valid,capsule_path,notes
v2,core,sensor_threshold_bug,failing,1,smoke,256,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed1_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,failing,2,smoke,256,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed2_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,failing,3,smoke,256,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed3_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,failing,4,smoke,256,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed4_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,failing,5,smoke,256,compiler_c_scaled,true,128,31,1,8,32.258065,128,31,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed5_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,failing,1,short,256,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed1_short.json,record/replay complete
v2,core,sensor_threshold_bug,failing,2,short,256,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed2_short.json,record/replay complete
v2,core,sensor_threshold_bug,failing,3,short,256,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed3_short.json,record/replay complete
v2,core,sensor_threshold_bug,failing,4,short,256,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed4_short.json,record/replay complete
v2,core,sensor_threshold_bug,failing,5,short,256,compiler_c_scaled,true,1604,353,1,8,2.832861,1604,353,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed5_short.json,record/replay complete
v2,core,sensor_threshold_bug,failing,1,medium,256,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed1_medium.json,record/replay complete
v2,core,sensor_threshold_bug,failing,2,medium,256,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed2_medium.json,record/replay complete
v2,core,sensor_threshold_bug,failing,3,medium,256,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed3_medium.json,record/replay complete
v2,core,sensor_threshold_bug,failing,4,medium,256,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed4_medium.json,record/replay complete
v2,core,sensor_threshold_bug,failing,5,medium,256,compiler_c_scaled,true,6020,1313,1,8,0.761615,6020,1313,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed5_medium.json,record/replay complete
v2,core,sensor_threshold_bug,failing,1,long,256,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed1_long.json,record/replay complete
v2,core,sensor_threshold_bug,failing,2,long,256,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed2_long.json,record/replay complete
v2,core,sensor_threshold_bug,failing,3,long,256,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed3_long.json,record/replay complete
v2,core,sensor_threshold_bug,failing,4,long,256,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed4_long.json,record/replay complete
v2,core,sensor_threshold_bug,failing,5,long,256,compiler_c_scaled,true,23684,5153,1,8,0.194062,23684,5153,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed5_long.json,record/replay complete
v2,core,sensor_threshold_bug,failing,1,stress,256,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed1_stress.json,record/replay complete
v2,core,sensor_threshold_bug,failing,2,stress,256,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed2_stress.json,record/replay complete
v2,core,sensor_threshold_bug,failing,3,stress,256,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed3_stress.json,record/replay complete
v2,core,sensor_threshold_bug,failing,4,stress,256,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed4_stress.json,record/replay complete
v2,core,sensor_threshold_bug,failing,5,stress,256,compiler_c_scaled,true,94340,20513,1,8,0.048750,94340,20513,3,PASS,PASS,PASS,false,1,1,1,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_failing_seed5_stress.json,record/replay complete
v2,core,sensor_threshold_bug,fixed,1,smoke,256,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,3,3,3,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_fixed_seed1_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,fixed,2,smoke,256,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,3,3,3,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_fixed_seed2_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,fixed,3,smoke,256,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,3,3,3,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_fixed_seed3_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,fixed,4,smoke,256,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,3,3,3,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_fixed_seed4_smoke.json,record/replay complete
v2,core,sensor_threshold_bug,fixed,5,smoke,256,compiler_c_scaled,true,5000,1660,3,24,1.807229,NA,NA,0,PASS,PASS,PASS,false,3,3,3,0,0,0,true,results/raw/workload_scaling_fixed/capsules/v2_core_sensor_threshold_bug_fixed_seed5_smoke.json,record/replay complete
