recorder_config,target,flow,metric,baseline,with_replaycapsule,delta,percent_overhead,status,notes
minimal,nangate45,yosys+openroad-openpdk-global-routed,area_um2,53453.000,54374.000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
minimal,nangate45,yosys+openroad-openpdk-global-routed,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
minimal,nangate45,yosys+openroad-openpdk-global-routed,power_mw,100000.000000,100000.000000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk-global-routed,area_um2,53453.000,63848.000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk-global-routed,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
core,nangate45,yosys+openroad-openpdk-global-routed,power_mw,100000.000000,100000.000000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk-global-routed,area_um2,53453.000,64299.000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk-global-routed,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
hashed,nangate45,yosys+openroad-openpdk-global-routed,power_mw,100000.000000,100000.000000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk-global-routed,area_um2,53453.000,65693.000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk-global-routed,wns_ns,NA,NA,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
full,nangate45,yosys+openroad-openpdk-global-routed,power_mw,100000.000000,100000.000000,NA,NA,BLOCKED,ASIC/open-PDK measurement unavailable until design rows are PASS
